,Unnamed: 0,workerId,chain,generation,level,arrayTraining,encodingCorrected,nounsUser,prepsUser,seenInTraining,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
78,79,A1,C,7,3,"[[[1,3],1],1]",trvmtmt,ktsv,mr,False,tmvmtmt,trvmtrt,tmvmtmt,trvmtrt,tmtmvmt,trtmvrt,tmtmvmt,trtmvrt,tmtmvmt,trtmvrt,tmtmvmt,trtmvrt,tmvmtmt,trvmtrt,tmvmtmt,trvmtrt,tvttmmm,tvttrmr,tvttmmm,tvttrmr,ttvtmmm,ttvtrmr,ttvtmmm,ttvtrmr,mmmttvt,rmrttvt,mmmttvt,rmrttvt,mmmtvtt,rmrtvtt,mmmtvtt,rmrtvtt,mmmtvtt,rmrtvtt,mmmtvtt,rmrtvtt,mmmttvt,rmrttvt,mmmttvt,rmrttvt,tvttmmm,tvttrmr,tvttmmm,tvttrmr,ttvtmmm,ttvtrmr,ttvtmmm,ttvtrmr,mmmttvt,rmrttvt,mmmttvt,rmrttvt,mmmtvtt,rmrtvtt,mmmtvtt,rmrtvtt,ttvtmmm,ttvtrmr,ttvtmmm,ttvtrmr,tvttmmm,tvttrmr,tvttmmm,tvttrmr
56,57,A1,C,7,2,"[[1,[2]],0]",tmsmk,ktsv,mr,True,trsmk,trsrk,srtmk,srtrk,kmtrs,krtrs,kmsrt,krsrt,kmsrt,krsrt,kmtrs,krtrs,srtmk,srtrk,trsmk,trsrk,tskmr,tskrr,stkmr,stkrr,ktsrm,ktsrr,kstrm,kstrr,rmkst,rrkst,rmkts,rrkts,mrstk,rrstk,mrtsk,rrtsk,rmtsk,rrtsk,rmstk,rrstk,mrkts,rrkts,mrkst,rrkst,tskrm,tskrr,stkrm,stkrr,ktsmr,ktsrr,kstmr,kstrr,mrkst,rrkst,mrkts,rrkts,rmstk,rrstk,rmtsk,rrtsk,kstmr,kstrr,ktsmr,ktsrr,stkrm,stkrr,tskrm,tskrr
55,56,A1,C,7,1,"[2,2]",sms,ktsv,mr,False,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr
54,55,A1,C,7,1,"[2,[2]]",srs,ktsv,mr,False,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,ssr,ssm,ssr,ssm,ssr,ssm,ssr,ssm,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,ssr,ssm,ssr,ssm,ssr,ssm,ssr,ssm,rss,mss,rss,mss,rss,mss,rss,mss,ssr,ssm,ssr,ssm,ssr,ssm,ssr,ssm
53,54,A1,C,7,1,"[0,1]",kmt,ktsv,mr,False,kmt,krt,kmt,krt,tmk,trk,tmk,trk,tmk,trk,tmk,trk,kmt,krt,kmt,krt,ktm,ktr,ktm,ktr,tkm,tkr,tkm,tkr,mtk,rtk,mtk,rtk,mkt,rkt,mkt,rkt,mkt,rkt,mkt,rkt,mtk,rtk,mtk,rtk,ktm,ktr,ktm,ktr,tkm,tkr,tkm,tkr,mtk,rtk,mtk,rtk,mkt,rkt,mkt,rkt,tkm,tkr,tkm,tkr,ktm,ktr,ktm,ktr
52,53,A1,C,7,1,"[2,0]",smk,ktsv,mr,False,smk,srk,smk,srk,kms,krs,kms,krs,kms,krs,kms,krs,smk,srk,smk,srk,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,msk,rsk,msk,rsk,mks,rks,mks,rks,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,ksm,ksr,ksm,ksr,skm,skr,skm,skr
51,52,A1,C,7,1,"[3,[2]]",vrs,ktsv,mr,True,vrs,vms,srv,smv,vrs,vms,srv,smv,srv,smv,vrs,vms,srv,smv,vrs,vms,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,rvs,mvs,rsv,msv,rvs,mvs,rsv,msv,vsr,vsm,svr,svm,vsr,vsm,svr,svm,rsv,msv,rvs,mvs,rsv,msv,rvs,mvs,svr,svm,vsr,vsm,svr,svm,vsr,vsm
50,51,A1,C,7,1,"[2,[0]]",srk,ktsv,mr,True,srk,smk,krs,kms,srk,smk,krs,kms,krs,kms,srk,smk,krs,kms,srk,smk,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,rsk,msk,rks,mks,rsk,msk,rks,mks,skr,skm,ksr,ksm,skr,skm,ksr,ksm,rks,mks,rsk,msk,rks,mks,rsk,msk,ksr,ksm,skr,skm,ksr,ksm,skr,skm
57,58,A1,C,7,2,"[[3,[2]],1]",vrsmt,ktsv,mr,True,vrsmt,vrsrt,srvmt,srvrt,tmvrs,trvrs,tmsrv,trsrv,tmsrv,trsrv,tmvrs,trvrs,srvmt,srvrt,vrsmt,vrsrt,vstmr,vstrr,svtmr,svtrr,tvsrm,tvsrr,tsvrm,tsvrr,rmtsv,rrtsv,rmtvs,rrtvs,mrsvt,rrsvt,mrvst,rrvst,rmvst,rrvst,rmsvt,rrsvt,mrtvs,rrtvs,mrtsv,rrtsv,vstrm,vstrr,svtrm,svtrr,tvsmr,tvsrr,tsvmr,tsvrr,mrtsv,rrtsv,mrtvs,rrtvs,rmsvt,rrsvt,rmvst,rrvst,tsvmr,tsvrr,tvsmr,tvsrr,svtrm,svtrr,vstrm,vstrr
49,50,A1,C,7,1,"[1,[3]]",trv,ktsv,mr,True,trv,tmv,vrt,vmt,trv,tmv,vrt,vmt,vrt,vmt,trv,tmv,vrt,vmt,trv,tmv,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,rtv,mtv,rvt,mvt,rtv,mtv,rvt,mvt,tvr,tvm,vtr,vtm,tvr,tvm,vtr,vtm,rvt,mvt,rtv,mtv,rvt,mvt,rtv,mtv,vtr,vtm,tvr,tvm,vtr,vtm,tvr,tvm
47,48,A1,C,7,1,"[0,2]",kms,ktsv,mr,True,kms,krs,kms,krs,smk,srk,smk,srk,smk,srk,smk,srk,kms,krs,kms,krs,ksm,ksr,ksm,ksr,skm,skr,skm,skr,msk,rsk,msk,rsk,mks,rks,mks,rks,mks,rks,mks,rks,msk,rsk,msk,rsk,ksm,ksr,ksm,ksr,skm,skr,skm,skr,msk,rsk,msk,rsk,mks,rks,mks,rks,skm,skr,skm,skr,ksm,ksr,ksm,ksr
46,47,A1,C,7,1,"[2,3]",smv,ktsv,mr,True,smv,srv,smv,srv,vms,vrs,vms,vrs,vms,vrs,vms,vrs,smv,srv,smv,srv,svm,svr,svm,svr,vsm,vsr,vsm,vsr,mvs,rvs,mvs,rvs,msv,rsv,msv,rsv,msv,rsv,msv,rsv,mvs,rvs,mvs,rvs,svm,svr,svm,svr,vsm,vsr,vsm,vsr,mvs,rvs,mvs,rvs,msv,rsv,msv,rsv,vsm,vsr,vsm,vsr,svm,svr,svm,svr
45,46,A1,C,7,1,"[1,[1]]",trt,ktsv,mr,True,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,trt,tmt,ttr,ttm,ttr,ttm,ttr,ttm,ttr,ttm,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,ttr,ttm,ttr,ttm,ttr,ttm,ttr,ttm,rtt,mtt,rtt,mtt,rtt,mtt,rtt,mtt,ttr,ttm,ttr,ttm,ttr,ttm,ttr,ttm
44,45,A1,C,7,1,"[1,3]",tmv,ktsv,mr,True,tmv,trv,tmv,trv,vmt,vrt,vmt,vrt,vmt,vrt,vmt,vrt,tmv,trv,tmv,trv,tvm,tvr,tvm,tvr,vtm,vtr,vtm,vtr,mvt,rvt,mvt,rvt,mtv,rtv,mtv,rtv,mtv,rtv,mtv,rtv,mvt,rvt,mvt,rvt,tvm,tvr,tvm,tvr,vtm,vtr,vtm,vtr,mvt,rvt,mvt,rvt,mtv,rtv,mtv,rtv,vtm,vtr,vtm,vtr,tvm,tvr,tvm,tvr
43,44,A1,C,7,0,3,v,ktsv,mr,True,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v
42,43,A1,C,7,0,2,s,ktsv,mr,True,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
41,42,A1,C,7,0,1,t,ktsv,mr,True,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
48,49,A1,C,7,1,"[1,2]",tms,ktsv,mr,True,tms,trs,tms,trs,smt,srt,smt,srt,smt,srt,smt,srt,tms,trs,tms,trs,tsm,tsr,tsm,tsr,stm,str,stm,str,mst,rst,mst,rst,mts,rts,mts,rts,mts,rts,mts,rts,mst,rst,mst,rst,tsm,tsr,tsm,tsr,stm,str,stm,str,mst,rst,mst,rst,mts,rts,mts,rts,stm,str,stm,str,tsm,tsr,tsm,tsr
40,41,A1,C,7,0,0,k,ktsv,mr,True,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k
58,59,A1,C,7,2,"[0,[[1,[3]]]]",krtrv,ktsv,mr,True,krtrv,kmtmv,vrtrk,vmtmk,krtrv,kmtmv,vrtrk,vmtmk,vrtrk,vmtmk,krtrv,kmtmv,vrtrk,vmtmk,krtrv,kmtmv,ktvrr,ktvmm,vtkrr,vtkmm,ktvrr,ktvmm,vtkrr,vtkmm,rrvtk,mmvtk,rrktv,mmktv,rrvtk,mmvtk,rrktv,mmktv,rrktv,mmktv,rrvtk,mmvtk,rrktv,mmktv,rrvtk,mmvtk,ktvrr,ktvmm,vtkrr,vtkmm,ktvrr,ktvmm,vtkrr,vtkmm,rrvtk,mmvtk,rrktv,mmktv,rrvtk,mmvtk,rrktv,mmktv,vtkrr,vtkmm,ktvrr,ktvmm,vtkrr,vtkmm,ktvrr,ktvmm
60,61,A1,C,7,2,"[1,[[0,[2]]]]",trkrs,ktsv,mr,True,trkrs,tmkms,srkrt,smkmt,trkrs,tmkms,srkrt,smkmt,srkrt,smkmt,trkrs,tmkms,srkrt,smkmt,trkrs,tmkms,tksrr,tksmm,sktrr,sktmm,tksrr,tksmm,sktrr,sktmm,rrskt,mmskt,rrtks,mmtks,rrskt,mmskt,rrtks,mmtks,rrtks,mmtks,rrskt,mmskt,rrtks,mmtks,rrskt,mmskt,tksrr,tksmm,sktrr,sktmm,tksrr,tksmm,sktrr,sktmm,rrskt,mmskt,rrtks,mmtks,rrskt,mmskt,rrtks,mmtks,sktrr,sktmm,tksrr,tksmm,sktrr,sktmm,tksrr,tksmm
76,77,A1,C,7,3,"[[0,[2,[0]]],[1]]",kmsrkrt,ktsv,mr,False,kmsrkrt,kmsmkmt,trkmkrs,tmkmkms,srkmkrt,smkmkmt,trkrsmk,tmkmsmk,trkrsmk,tmkmsmk,srkmkrt,smkmkmt,trkmkrs,tmkmkms,kmsrkrt,kmsmkmt,ksktrrm,ksktmmm,tkksrmr,tkksmmm,skktrmr,skktmmm,tkskmrr,tkskmmm,mrrtksk,mmmtksk,rmrskkt,mmmskkt,rmrtkks,mmmtkks,rrmkskt,mmmkskt,mrrkskt,mmmkskt,rmrtkks,mmmtkks,rmrskkt,mmmskkt,rrmtksk,mmmtksk,ksktmrr,ksktmmm,tkksrmr,tkksmmm,skktrmr,skktmmm,tkskrrm,tkskmmm,rrmtksk,mmmtksk,rmrskkt,mmmskkt,rmrtkks,mmmtkks,mrrkskt,mmmkskt,tkskrrm,tkskmmm,skktrmr,skktmmm,tkksrmr,tkksmmm,ksktmrr,ksktmmm
75,76,A1,C,7,3,"[3,[[3,[0,[3]]]]]",vrvmkrv,ktsv,mr,False,vrvmkrv,vmvrkrv,vmvrkrv,vrvrkmv,vrkrvmv,vmkrvrv,vrkmvrv,vrkrvmv,vrkmvrv,vrkrvmv,vrkrvmv,vmkrvrv,vmvrkrv,vrvrkmv,vrvmkrv,vmvrkrv,vvkvrmr,vvkvrrm,vvkvrrm,vvkvmrr,vkvvmrr,vkvvrrm,vkvvrmr,vkvvmrr,rmrvkvv,mrrvkvv,mrrvkvv,rrmvkvv,rrmvvkv,mrrvvkv,rmrvvkv,rrmvvkv,rmrvvkv,mrrvvkv,mrrvvkv,rrmvvkv,rrmvkvv,mrrvkvv,rmrvkvv,rrmvkvv,vvkvrmr,vvkvmrr,vvkvmrr,vvkvrrm,vkvvrrm,vkvvmrr,vkvvrmr,vkvvrrm,rmrvkvv,rrmvkvv,rrmvkvv,mrrvkvv,mrrvvkv,rrmvvkv,rmrvvkv,mrrvvkv,vkvvrmr,vkvvrrm,vkvvrrm,vkvvmrr,vvkvmrr,vvkvrrm,vvkvrmr,vvkvmrr
74,75,A1,C,7,3,"[[[2,[1]],[3]],[2]]",srtrvrs,ktsv,mr,False,srtrvrs,smtrvms,srvrtrs,smvrtms,srtrvrs,smtrvms,srvrtrs,smvrtms,srvrtrs,smvrtms,srtrvrs,smtrvms,srvrtrs,smvrtms,srtrvrs,smtrvms,stvsrrr,stvsmrm,svtsrrr,svtsmrm,stvsrrr,stvsmrm,svtsrrr,svtsmrm,rrrsvts,mrmsvts,rrrstvs,mrmstvs,rrrsvts,mrmsvts,rrrstvs,mrmstvs,rrrstvs,mrmstvs,rrrsvts,mrmsvts,rrrstvs,mrmstvs,rrrsvts,mrmsvts,stvsrrr,stvsmrm,svtsrrr,svtsmrm,stvsrrr,stvsmrm,svtsrrr,svtsmrm,rrrsvts,mrmsvts,rrrstvs,mrmstvs,rrrsvts,mrmsvts,rrrstvs,mrmstvs,svtsrrr,svtsmrm,stvsrrr,stvsmrm,svtsrrr,svtsmrm,stvsrrr,stvsmrm
73,74,A1,C,7,3,"[[0,[1,2]],[3]]",kmtmsrv,ktsv,mr,False,kmtmsrv,kmtrsmv,vrkmtms,vmkmtrs,smtmkrv,srtmkmv,vrsmtmk,vmsrtmk,vrsmtmk,vmsrtmk,smtmkrv,srtmkmv,vrkmtms,vmkmtrs,kmtmsrv,kmtrsmv,ktsvrmm,ktsvmrm,vktsmmr,vktsrmm,stkvrmm,stkvmmr,vstkmmr,vstkmrm,mmrvstk,mrmvstk,rmmstkv,mmrstkv,mmrvkts,rmmvkts,rmmktsv,mrmktsv,mmrktsv,mrmktsv,rmmvkts,mmrvkts,mmrstkv,rmmstkv,rmmvstk,mrmvstk,ktsvmmr,ktsvmrm,vktsrmm,vktsmmr,stkvmmr,stkvrmm,vstkrmm,vstkmrm,rmmvstk,mrmvstk,mmrstkv,rmmstkv,rmmvkts,mmrvkts,mmrktsv,mrmktsv,vstkrmm,vstkmrm,stkvmmr,stkvrmm,vktsrmm,vktsmmr,ktsvmmr,ktsvmrm
72,73,A1,C,7,3,"[0,[[3,[2]],[2]]]",kmvrsrs,ktsv,mr,False,kmvrsrs,krvmsrs,kmsrsrv,krsrsmv,vrsrsmk,vmsrsrk,srsrvmk,srsmvrk,srsrvmk,srsmvrk,vrsrsmk,vmsrsrk,kmsrsrv,krsrsmv,kmvrsrs,krvmsrs,kvssrrm,kvssrmr,kssvrrm,kssvmrr,vsskmrr,vsskrrm,ssvkmrr,ssvkrmr,mrrssvk,rmrssvk,mrrvssk,rrmvssk,rrmkssv,mrrkssv,rrmkvss,rmrkvss,mrrkvss,rmrkvss,mrrkssv,rrmkssv,rrmvssk,mrrvssk,rrmssvk,rmrssvk,kvssmrr,kvssrmr,kssvmrr,kssvrrm,vsskrrm,vsskmrr,ssvkrrm,ssvkrmr,rrmssvk,rmrssvk,rrmvssk,mrrvssk,mrrkssv,rrmkssv,mrrkvss,rmrkvss,ssvkrrm,ssvkrmr,vsskrrm,vsskmrr,kssvmrr,kssvrrm,kvssmrr,kvssrmr
71,72,A1,C,7,3,"[3,[0,[[1,1]]]]",vmkrtmt,ktsv,mr,False,vmkrtmt,vrkrtmt,vmtmtrk,vrtmtrk,krtmtmv,krtmtrv,tmtrkmv,tmtrkrv,tmtrkmv,tmtrkrv,krtmtmv,krtmtrv,vmtmtrk,vrtmtrk,vmkrtmt,vrkrtmt,vkttmrm,vkttmrr,vttkrmm,vttkrmr,kttvmmr,kttvrmr,ttkvmrm,ttkvrrm,mrmttkv,rrmttkv,mmrkttv,rmrkttv,rmmvttk,rmrvttk,mrmvktt,mrrvktt,mrmvktt,rrmvktt,mmrvttk,rmrvttk,rmmkttv,rmrkttv,mrmttkv,mrrttkv,vkttmrm,vkttrrm,vttkmmr,vttkrmr,kttvrmm,kttvrmr,ttkvmrm,ttkvmrr,mrmttkv,mrrttkv,rmmkttv,rmrkttv,mmrvttk,rmrvttk,mrmvktt,rrmvktt,ttkvmrm,ttkvmrr,kttvrmm,kttvrmr,vttkmmr,vttkrmr,vkttmrm,vkttrrm
70,71,A1,C,7,3,"[0,[[0,1],[1]]]",kmkmtrt,ktsv,mr,False,kmkmtrt,krkrtrt,kmtrkmt,krtrkrt,tmkrtmk,trkrtrk,trtmkmk,trtrkrk,trtmkmk,trtrkrk,tmkrtmk,trkrtrk,kmtrkmt,krtrkrt,kmkmtrt,krkrtrt,kkttrmm,kkttrrr,ktktmrm,ktktrrr,tktkmrm,tktkrrr,ttkkmmr,ttkkrrr,mmrttkk,rrrttkk,mrmtktk,rrrtktk,mrmktkt,rrrktkt,rmmkktt,rrrkktt,mmrkktt,rrrkktt,mrmktkt,rrrktkt,mrmtktk,rrrtktk,rmmttkk,rrrttkk,kkttmmr,kkttrrr,ktktmrm,ktktrrr,tktkmrm,tktkrrr,ttkkrmm,ttkkrrr,rmmttkk,rrrttkk,mrmtktk,rrrtktk,mrmktkt,rrrktkt,mmrkktt,rrrkktt,ttkkrmm,ttkkrrr,tktkmrm,tktkrrr,ktktmrm,ktktrrr,kkttmmr,kkttrrr
59,60,A1,C,7,2,"[[1,3],2]",tmvms,ktsv,mr,True,tmvms,tmvrs,tmvms,tmvrs,smvmt,srvmt,smvmt,srvmt,smvmt,srvmt,smvmt,srvmt,tmvms,tmvrs,tmvms,tmvrs,tvsmm,tvsrm,tvsmm,tvsrm,svtmm,svtmr,svtmm,svtmr,mmsvt,mrsvt,mmsvt,mrsvt,mmtvs,rmtvs,mmtvs,rmtvs,mmtvs,mrtvs,mmtvs,mrtvs,mmsvt,rmsvt,mmsvt,rmsvt,tvsmm,tvsmr,tvsmm,tvsmr,svtmm,svtrm,svtmm,svtrm,mmsvt,rmsvt,mmsvt,rmsvt,mmtvs,mrtvs,mmtvs,mrtvs,svtmm,svtrm,svtmm,svtrm,tvsmm,tvsmr,tvsmm,tvsmr
69,70,A1,C,7,3,"[2,[[2,[1,[3]]]]]",srsmtrv,ktsv,mr,False,srsmtrv,smsrtrv,smvrtrs,srvrtms,srtrvms,smtrvrs,vrtmsrs,vrtrsms,vrtmsrs,vrtrsms,srtrvms,smtrvrs,smvrtrs,srvrtms,srsmtrv,smsrtrv,sstvrmr,sstvrrm,svtsrrm,svtsmrr,stvsmrr,stvsrrm,vtssrmr,vtssmrr,rmrvtss,mrrvtss,mrrstvs,rrmstvs,rrmsvts,mrrsvts,rmrsstv,rrmsstv,rmrsstv,mrrsstv,mrrsvts,rrmsvts,rrmstvs,mrrstvs,rmrvtss,rrmvtss,sstvrmr,sstvmrr,svtsmrr,svtsrrm,stvsrrm,stvsmrr,vtssrmr,vtssrrm,rmrvtss,rrmvtss,rrmstvs,mrrstvs,mrrsvts,rrmsvts,rmrsstv,mrrsstv,vtssrmr,vtssrrm,stvsrrm,stvsmrr,svtsmrr,svtsrrm,sstvrmr,sstvmrr
67,68,A1,C,7,2,"[1,[3,3]]",tmvmv,ktsv,mr,False,tmvmv,trvmv,tmvmv,trvmv,vmvmt,vmvrt,vmvmt,vmvrt,vmvmt,vmvrt,vmvmt,vmvrt,tmvmv,trvmv,tmvmv,trvmv,tvvmm,tvvmr,tvvmm,tvvmr,vvtmm,vvtrm,vvtmm,vvtrm,mmvvt,rmvvt,mmvvt,rmvvt,mmtvv,mrtvv,mmtvv,mrtvv,mmtvv,rmtvv,mmtvv,rmtvv,mmvvt,mrvvt,mmvvt,mrvvt,tvvmm,tvvrm,tvvmm,tvvrm,vvtmm,vvtmr,vvtmm,vvtmr,mmvvt,mrvvt,mmvvt,mrvvt,mmtvv,rmtvv,mmtvv,rmtvv,vvtmm,vvtmr,vvtmm,vvtmr,tvvmm,tvvrm,tvvmm,tvvrm
66,67,A1,C,7,2,"[[3,[3]],[2]]",vrvrs,ktsv,mr,False,vrvrs,vrvms,srvrv,smvrv,vrvrs,vrvms,srvrv,smvrv,srvrv,smvrv,vrvrs,vrvms,srvrv,smvrv,vrvrs,vrvms,vvsrr,vvsmr,svvrr,svvrm,vvsrr,vvsmr,svvrr,svvrm,rrsvv,rmsvv,rrvvs,mrvvs,rrsvv,rmsvv,rrvvs,mrvvs,rrvvs,rmvvs,rrsvv,mrsvv,rrvvs,rmvvs,rrsvv,mrsvv,vvsrr,vvsrm,svvrr,svvmr,vvsrr,vvsrm,svvrr,svvmr,rrsvv,mrsvv,rrvvs,rmvvs,rrsvv,mrsvv,rrvvs,rmvvs,svvrr,svvmr,vvsrr,vvsrm,svvrr,svvmr,vvsrr,vvsrm
65,66,A1,C,7,2,"[3,[[0,[0]]]]",vrkrk,ktsv,mr,False,vrkrk,vmkmk,krkrv,kmkmv,vrkrk,vmkmk,krkrv,kmkmv,krkrv,kmkmv,vrkrk,vmkmk,krkrv,kmkmv,vrkrk,vmkmk,vkkrr,vkkmm,kkvrr,kkvmm,vkkrr,vkkmm,kkvrr,kkvmm,rrkkv,mmkkv,rrvkk,mmvkk,rrkkv,mmkkv,rrvkk,mmvkk,rrvkk,mmvkk,rrkkv,mmkkv,rrvkk,mmvkk,rrkkv,mmkkv,vkkrr,vkkmm,kkvrr,kkvmm,vkkrr,vkkmm,kkvrr,kkvmm,rrkkv,mmkkv,rrvkk,mmvkk,rrkkv,mmkkv,rrvkk,mmvkk,kkvrr,kkvmm,vkkrr,vkkmm,kkvrr,kkvmm,vkkrr,vkkmm
64,65,A1,C,7,2,"[1,[2,[2]]]",tmsrs,ktsv,mr,False,tmsrs,trsrs,tmsrs,trsrs,srsmt,srsrt,srsmt,srsrt,srsmt,srsrt,srsmt,srsrt,tmsrs,trsrs,tmsrs,trsrs,tssrm,tssrr,tssrm,tssrr,sstmr,sstrr,sstmr,sstrr,mrsst,rrsst,mrsst,rrsst,rmtss,rrtss,rmtss,rrtss,mrtss,rrtss,mrtss,rrtss,rmsst,rrsst,rmsst,rrsst,tssmr,tssrr,tssmr,tssrr,sstrm,sstrr,sstrm,sstrr,rmsst,rrsst,rmsst,rrsst,mrtss,rrtss,mrtss,rrtss,sstrm,sstrr,sstrm,sstrr,tssmr,tssrr,tssmr,tssrr
