,Unnamed: 0,workerId,chain,generation,level,arrayTraining,encodingCorrected,nounsUser,prepsUser,seenInTraining,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
4084,5,C_0,C,0,1,"[1,3]",kmv,tvsk,mr,True,vmk,vrk,vmk,vrk,kmv,krv,kmv,krv,kmv,krv,kmv,krv,vmk,vrk,vmk,vrk,vkm,vkr,vkm,vkr,kvm,kvr,kvm,kvr,mkv,rkv,mkv,rkv,mvk,rvk,mvk,rvk,mvk,rvk,mvk,rvk,mkv,rkv,mkv,rkv,vkm,vkr,vkm,vkr,kvm,kvr,kvm,kvr,mkv,rkv,mkv,rkv,mvk,rvk,mvk,rvk,kvm,kvr,kvm,kvr,vkm,vkr,vkm,vkr
4085,6,C_0,C,0,1,"[1,[1]]",vvr,tvsk,mr,True,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vrv,vmv,vvr,vvm,vvr,vvm,vvr,vvm,vvr,vvm,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,vvr,vvm,vvr,vvm,vvr,vvm,vvr,vvm,rvv,mvv,rvv,mvv,rvv,mvv,rvv,mvv,vvr,vvm,vvr,vvm,vvr,vvm,vvr,vvm
4086,7,C_0,C,0,1,"[2,3]",ksm,tvsk,mr,True,smk,srk,smk,srk,kms,krs,kms,krs,kms,krs,kms,krs,smk,srk,smk,srk,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,msk,rsk,msk,rsk,mks,rks,mks,rks,skm,skr,skm,skr,ksm,ksr,ksm,ksr,mks,rks,mks,rks,msk,rsk,msk,rsk,ksm,ksr,ksm,ksr,skm,skr,skm,skr
4087,8,C_0,C,0,1,"[0,2]",mst,tvsk,mr,True,tms,trs,tms,trs,smt,srt,smt,srt,smt,srt,smt,srt,tms,trs,tms,trs,tsm,tsr,tsm,tsr,stm,str,stm,str,mst,rst,mst,rst,mts,rts,mts,rts,mts,rts,mts,rts,mst,rst,mst,rst,tsm,tsr,tsm,tsr,stm,str,stm,str,mst,rst,mst,rst,mts,rts,mts,rts,stm,str,stm,str,tsm,tsr,tsm,tsr
4088,9,C_0,C,0,1,"[1,2]",mvs,tvsk,mr,True,vms,vrs,vms,vrs,smv,srv,smv,srv,smv,srv,smv,srv,vms,vrs,vms,vrs,vsm,vsr,vsm,vsr,svm,svr,svm,svr,msv,rsv,msv,rsv,mvs,rvs,mvs,rvs,mvs,rvs,mvs,rvs,msv,rsv,msv,rsv,vsm,vsr,vsm,vsr,svm,svr,svm,svr,msv,rsv,msv,rsv,mvs,rvs,mvs,rvs,svm,svr,svm,svr,vsm,vsr,vsm,vsr
4099,20,C_0,C,0,2,"[[1,3],2]",ksmvm,tvsk,mr,True,vmkms,vmkrs,vmkms,vmkrs,smkmv,srkmv,smkmv,srkmv,smkmv,srkmv,smkmv,srkmv,vmkms,vmkrs,vmkms,vmkrs,vksmm,vksrm,vksmm,vksrm,skvmm,skvmr,skvmm,skvmr,mmskv,mrskv,mmskv,mrskv,mmvks,rmvks,mmvks,rmvks,mmvks,mrvks,mmvks,mrvks,mmskv,rmskv,mmskv,rmskv,vksmm,vksmr,vksmm,vksmr,skvmm,skvrm,skvmm,skvrm,mmskv,rmskv,mmskv,rmskv,mmvks,mrvks,mmvks,mrvks,skvmm,skvrm,skvmm,skvrm,vksmm,vksmr,vksmm,vksmr
4080,1,C_0,C,0,0,0,t,tvsk,mr,True,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
4090,11,C_0,C,0,1,"[2,[0]]",tsr,tvsk,mr,True,srt,smt,trs,tms,srt,smt,trs,tms,trs,tms,srt,smt,trs,tms,srt,smt,str,stm,tsr,tsm,str,stm,tsr,tsm,rts,mts,rst,mst,rts,mts,rst,mst,rst,mst,rts,mts,rst,mst,rts,mts,str,stm,tsr,tsm,str,stm,tsr,tsm,rts,mts,rst,mst,rts,mts,rst,mst,tsr,tsm,str,stm,tsr,tsm,str,stm
4091,12,C_0,C,0,1,"[3,[2]]",ksr,tvsk,mr,True,krs,kms,srk,smk,krs,kms,srk,smk,srk,smk,krs,kms,srk,smk,krs,kms,ksr,ksm,skr,skm,ksr,ksm,skr,skm,rsk,msk,rks,mks,rsk,msk,rks,mks,rks,mks,rsk,msk,rks,mks,rsk,msk,ksr,ksm,skr,skm,ksr,ksm,skr,skm,rsk,msk,rks,mks,rsk,msk,rks,mks,skr,skm,ksr,ksm,skr,skm,ksr,ksm
4092,13,C_0,C,0,1,"[2,0]",mts,tvsk,mr,False,smt,srt,smt,srt,tms,trs,tms,trs,tms,trs,tms,trs,smt,srt,smt,srt,stm,str,stm,str,tsm,tsr,tsm,tsr,mts,rts,mts,rts,mst,rst,mst,rst,mst,rst,mst,rst,mts,rts,mts,rts,stm,str,stm,str,tsm,tsr,tsm,tsr,mts,rts,mts,rts,mst,rst,mst,rst,tsm,tsr,tsm,tsr,stm,str,stm,str
4093,14,C_0,C,0,1,"[0,1]",tvm,tvsk,mr,False,tmv,trv,tmv,trv,vmt,vrt,vmt,vrt,vmt,vrt,vmt,vrt,tmv,trv,tmv,trv,tvm,tvr,tvm,tvr,vtm,vtr,vtm,vtr,mvt,rvt,mvt,rvt,mtv,rtv,mtv,rtv,mtv,rtv,mtv,rtv,mvt,rvt,mvt,rvt,tvm,tvr,tvm,tvr,vtm,vtr,vtm,vtr,mvt,rvt,mvt,rvt,mtv,rtv,mtv,rtv,vtm,vtr,vtm,vtr,tvm,tvr,tvm,tvr
4094,15,C_0,C,0,1,"[2,[2]]",rss,tvsk,mr,False,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,ssr,ssm,ssr,ssm,ssr,ssm,ssr,ssm,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,ssr,ssm,ssr,ssm,ssr,ssm,ssr,ssm,rss,mss,rss,mss,rss,mss,rss,mss,ssr,ssm,ssr,ssm,ssr,ssm,ssr,ssm
4095,16,C_0,C,0,1,"[2,2]",mss,tvsk,mr,False,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,sms,srs,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr,mss,rss,mss,rss,mss,rss,mss,rss,ssm,ssr,ssm,ssr,ssm,ssr,ssm,ssr
4096,17,C_0,C,0,2,"[[1,[2]],0]",vtmrs,tvsk,mr,True,vrsmt,vrsrt,srvmt,srvrt,tmvrs,trvrs,tmsrv,trsrv,tmsrv,trsrv,tmvrs,trvrs,srvmt,srvrt,vrsmt,vrsrt,vstmr,vstrr,svtmr,svtrr,tvsrm,tvsrr,tsvrm,tsvrr,rmtsv,rrtsv,rmtvs,rrtvs,mrsvt,rrsvt,mrvst,rrvst,rmvst,rrvst,rmsvt,rrsvt,mrtvs,rrtvs,mrtsv,rrtsv,vstrm,vstrr,svtrm,svtrr,tvsmr,tvsrr,tsvmr,tsvrr,mrtsv,rrtsv,mrtvs,rrtvs,rmsvt,rrsvt,rmvst,rrvst,tsvmr,tsvrr,tvsmr,tvsrr,svtrm,svtrr,vstrm,vstrr
4097,18,C_0,C,0,2,"[[3,[2]],1]",mkrsv,tvsk,mr,True,krsmv,krsrv,srkmv,srkrv,vmkrs,vrkrs,vmsrk,vrsrk,vmsrk,vrsrk,vmkrs,vrkrs,srkmv,srkrv,krsmv,krsrv,ksvmr,ksvrr,skvmr,skvrr,vksrm,vksrr,vskrm,vskrr,rmvsk,rrvsk,rmvks,rrvks,mrskv,rrskv,mrksv,rrksv,rmksv,rrksv,rmskv,rrskv,mrvks,rrvks,mrvsk,rrvsk,ksvrm,ksvrr,skvrm,skvrr,vksmr,vksrr,vskmr,vskrr,mrvsk,rrvsk,mrvks,rrvks,rmskv,rrskv,rmksv,rrksv,vskmr,vskrr,vksmr,vksrr,skvrm,skvrr,ksvrm,ksvrr
4089,10,C_0,C,0,1,"[1,[3]]",rvk,tvsk,mr,True,vrk,vmk,krv,kmv,vrk,vmk,krv,kmv,krv,kmv,vrk,vmk,krv,kmv,vrk,vmk,vkr,vkm,kvr,kvm,vkr,vkm,kvr,kvm,rkv,mkv,rvk,mvk,rkv,mkv,rvk,mvk,rvk,mvk,rkv,mkv,rvk,mvk,rkv,mkv,vkr,vkm,kvr,kvm,vkr,vkm,kvr,kvm,rkv,mkv,rvk,mvk,rkv,mkv,rvk,mvk,kvr,kvm,vkr,vkm,kvr,kvm,vkr,vkm
4147,2818,D_0,D,0,2,"[1,[3,3]]",svsmm,kvts,mr,False,vmsms,vrsms,vmsms,vrsms,smsmv,smsrv,smsmv,smsrv,smsmv,smsrv,smsmv,smsrv,vmsms,vrsms,vmsms,vrsms,vssmm,vssmr,vssmm,vssmr,ssvmm,ssvrm,ssvmm,ssvrm,mmssv,rmssv,mmssv,rmssv,mmvss,mrvss,mmvss,mrvss,mmvss,rmvss,mmvss,rmvss,mmssv,mrssv,mmssv,mrssv,vssmm,vssrm,vssmm,vssrm,ssvmm,ssvmr,ssvmm,ssvmr,mmssv,mrssv,mmssv,mrssv,mmvss,rmvss,mmvss,rmvss,ssvmm,ssvmr,ssvmm,ssvmr,vssmm,vssrm,vssmm,vssrm
4146,279,D_0,D,0,2,"[[3,[3]],[2]]",srsrt,kvts,mr,False,srsrt,srsmt,trsrs,tmsrs,srsrt,srsmt,trsrs,tmsrs,trsrs,tmsrs,srsrt,srsmt,trsrs,tmsrs,srsrt,srsmt,sstrr,sstmr,tssrr,tssrm,sstrr,sstmr,tssrr,tssrm,rrtss,rmtss,rrsst,mrsst,rrtss,rmtss,rrsst,mrsst,rrsst,rmsst,rrtss,mrtss,rrsst,rmsst,rrtss,mrtss,sstrr,sstrm,tssrr,tssmr,sstrr,sstrm,tssrr,tssmr,rrtss,mrtss,rrsst,rmsst,rrtss,mrtss,rrsst,rmsst,tssrr,tssmr,sstrr,sstrm,tssrr,tssmr,sstrr,sstrm
4142,2327,D_0,D,0,2,"[[0,[0]],1]",krvkm,kvts,mr,True,krkmv,krkrv,krkmv,krkrv,vmkrk,vrkrk,vmkrk,vrkrk,vmkrk,vrkrk,vmkrk,vrkrk,krkmv,krkrv,krkmv,krkrv,kkvmr,kkvrr,kkvmr,kkvrr,vkkrm,vkkrr,vkkrm,vkkrr,rmvkk,rrvkk,rmvkk,rrvkk,mrkkv,rrkkv,mrkkv,rrkkv,rmkkv,rrkkv,rmkkv,rrkkv,mrvkk,rrvkk,mrvkk,rrvkk,kkvrm,kkvrr,kkvrm,kkvrr,vkkmr,vkkrr,vkkmr,vkkrr,mrvkk,rrvkk,mrvkk,rrvkk,rmkkv,rrkkv,rmkkv,rrkkv,vkkmr,vkkrr,vkkmr,vkkrr,kkvrm,kkvrr,kkvrm,kkvrr
4144,2511,D_0,D,0,2,"[1,[2,[2]]]",rtmtv,kvts,mr,False,vmtrt,vrtrt,vmtrt,vrtrt,trtmv,trtrv,trtmv,trtrv,trtmv,trtrv,trtmv,trtrv,vmtrt,vrtrt,vmtrt,vrtrt,vttrm,vttrr,vttrm,vttrr,ttvmr,ttvrr,ttvmr,ttvrr,mrttv,rrttv,mrttv,rrttv,rmvtt,rrvtt,rmvtt,rrvtt,mrvtt,rrvtt,mrvtt,rrvtt,rmttv,rrttv,rmttv,rrttv,vttmr,vttrr,vttmr,vttrr,ttvrm,ttvrr,ttvrm,ttvrr,rmttv,rrttv,rmttv,rrttv,mrvtt,rrvtt,mrvtt,rrvtt,ttvrm,ttvrr,ttvrm,ttvrr,vttmr,vttrr,vttmr,vttrr
4143,2414,D_0,D,0,2,"[[1,1],[3]]",rsvmv,kvts,mr,True,vmvrs,vmvms,srvmv,smvmv,vmvrs,vmvms,srvmv,smvmv,srvmv,smvmv,vmvrs,vmvms,srvmv,smvmv,vmvrs,vmvms,vvsrm,vvsmm,svvmr,svvmm,vvsrm,vvsmm,svvmr,svvmm,mrsvv,mmsvv,rmvvs,mmvvs,mrsvv,mmsvv,rmvvs,mmvvs,mrvvs,mmvvs,rmsvv,mmsvv,mrvvs,mmvvs,rmsvv,mmsvv,vvsmr,vvsmm,svvrm,svvmm,vvsmr,vvsmm,svvrm,svvmm,rmsvv,mmsvv,mrvvs,mmvvs,rmsvv,mmsvv,mrvvs,mmvvs,svvrm,svvmm,vvsmr,vvsmm,svvrm,svvmm,vvsmr,vvsmm
