"","workerId","chain","generation","nouns","strings","prepM","prepR","swap"
"56","A7","J",1,5,"toltul;vivin;sasan;koto;rae sasan toltul;moy vivin toltul;moy toltul koto;rae koto vivin;moy sasan koto;moy koto sasan;rae sasan toltul;rae sasan vivin;moy koto toltul;rae sasan vivin;moy toltul vivin;rae vivin koto;rae koto koto sasan koto;moy sasan rae koto toltul;rae sasan toltul toltul toltul;rae koto sasan toltul rae;rae vivin sasan sasan rae;moy vivin koto koto rae;moy rae vivin koto moy;rae toltul koto vivin vivin;rae vivin vivin toltul toltul;moy koto koto toltul toltul;moy rae vivin vivin moy;moy vivin sasan moy toltul;moy koto sasan sasan koto rae moy;rae vivin sasan moy sasan vivin moy;moy rae koto vivin koto moy koto;rae toltul koto rae vivin vivin moy;rae toltul moy vivin moy toltul rae;moy sasan toltul moy vivin moy sasan;moy toltul rae koto toltul rae toltul;rae sasan vivin rae sasan rae koto;moy sasan rae toltul sasan moy koto;moy vivin rae vivin moy koto moy;rae vivin toltul rae toltul moy vivin;rae koto koto toltul rae sasan rae","right","under","false"
"62","A37","K",1,4,"tuntul;vinkin;sosi;kanka;sosi rae tuntul;moy tuntul vinkin;moy kanka tuntul;rae kanka vinkin;moy kanka sosi;moy kanka sosi;rae sosi tuntul;rae vinkin sosi;moy tuntul kanka;rae vinkin sosi;moy tuntul vinkin;vinkin rae kanka;rae sosi kanka kanka rae;rae kanka tuntul moy sosi;rae tuntul moy sosi tuntul;rae sosi kanka moy tuntul;rae vinkin sosi sosi rae;vinkin moy rae kanka kanka;moy sosi rae vinkin sosi;moy kanka tuntul rae vinkin;moy vinkin vinkin rae tuntul;moy kanka tuntul moy kanka;rae vinkin vinkin moy tuntul;moy tuntul sosi moy vinkin;rae kanka sosi moy sosi moy kanka;moy vinkin moy sosi sosi rae vinkin;moy kanka kanka rae moy vinkin kanka;moy vinkin vinkin rae kanka tuntul rae;moy tuntul vinkin moy tuntul rae sosi;moy sosi vinkin moy tuntul sosi moy;rae rae tuntul tuntul moy tuntul kanka;rae rae rae kanka sosi vinkin kanka;moy kanka sosi rae tuntul moy sosi;moy tuntul moy kanka rae vinkin vinkin;moy vinkin rae rae tuntul tuntul vinkin;rae rae tuntul sosi rae kanka kanka","right","under","false"
"68","A46","L",1,0,"kilkul;vanva;tovo;sunsin;tovo rae kilkul;vanva moy kilkul;sunsin moy kilkul;vanva sunsin rae;sunsin tovo moy;tovo sunsin moy;kilkul tovo rae;vanva tovo rae;kilkul sunsin moy;tovo vanva rae;vanva kilkul moy;sunsin vanva rae;tovo rae sunsin sunsin rae;kilkul sunsin rae tovo moy;kilkul moy tovo kilkul rae;kilkul rae rae tovo sunsin;rae tovo tovo vanva rae;rae sunsin sunsin moy vanva;vanva moy vanva tovo rae;sunsin kilkul moy vanva rae;rae vanva vanva moy kilkul;moy kilkul sunsin sunsin moy;moy kilkul rae vanva vanva;moy kilkul tovo vanva moy;sunsin rae tovo moy tovo sunsin moy;vanva moy tovo tovo rae vanva moy;sunsin moy sunsin rae moy vanva sunsin;vanva moy vanva rae sunsin kilkul rae;tovo rae kilkul moy vanva kilkul moy;moy tovo vanva moy kilkul tovo moy;kilkul kilkul sunsin rae moy kilkul moy;sunsin rae tovo rae vanva rae tovo;sunsin vanva moy rae kilkul moy tovo;kilkul sunsin moy vanva vanva rae moy;vanva moy kilkul kilkul rae vanva rae;tovo kilkul rae sunsin sunsin moy rae","right","under","false"
"3","A47","A",2,7,"sisu;vinvi;konkan;tulsul;sisu konkan rae;vinvi moy sisu;sisu moy tulsul;tulsul vinvi rae;konkan tulsul moy;tulsul konkan moy;konkan rae sisu;konkan rae vinvi;tulsul sisu moy;vinvi konkan rae;sisu moy vinvi;vinvi tulsul rae;tulsul rae tulsul rae konkan;konkan moy tulsul sisu rae;sisu rae konkan moy sisu;tulsul moy konkan moy vinvi;vinvi rae konkan rae konkan;vinvi moy tulsul rae tulsul;vinvi rae konkan moy konkan;sisu moy konkan rae vinvi;moy sisu rae konkan moy;tulsul moy tulsul moy sisu;konkan rae konkan moy sisu;vinvi moy konkan moy moy;tulsul moy konkan moy konkan rae tulsul;vinvi rae konkan moy konkan moy vinvi;tulsul moy vinvi rae tulsul moy tulsul;sisu rae tulsul rae vinvi moy vinvi;sisu moy vinvi moy sisu rae konkan;konkan moy sisu moy vinvi moy konkan;sisu moy tulsul rae sisu rae sisu;konkan moy vinvi rae konkan rae tulsul;konkan moy sisu rae konkan moy tulsul;vinvi rae vinvi moy tulsul moy sisu;vinvi rae sisu rae sisu moy vinvi;tulsul moy tulsul rae sisu rae konkan","left","atop","false"
"9","A19","B",2,3,"vusu;tinkin;solson;kolkil;vusu rae solson;tinkin moy vusu;vusu rae kolkil;kolkil rae tinkin;solson moy kolkil;kolkil moy solson;solson rae vusu;solson rae tinkin;kolkil rae vusu;tinkin rae solson;vusu rae tinkin;vusu rae kolkil;kolkil kolkil rae solson rae;solson moy kolkil rae vusu;solson moy vusu rae vusu;kolkil moy solson rae vusu;tinkin rae vusu rae vusu;tinkin moy kolkil kolkil rae;vusu rae solson moy solson;tinkin rae vusu moy kolkil;vusu rae tinkin moy tinkin;kolkil moy kolkil moy vusu;tinkin rae tinkin rae vusu;tinkin moy solson moy vusu;kolkil moy solson moy kolkil rae solson;solson moy solson moy tinkin rae tinkin;kolkil moy kolkil rae vusu moy kolkil;tinkin moy tinkin rae vusu rae kolkil;vusu moy tinkin moy vusu rae solson;solson moy vusu moy tinkin moy solson;vusu rae kolkil rae vusu rae vusu;tinkin tinkin rae solson rae kolkil rae;tinkin moy vusu rae solson moy kolkil;tinkin moy tinkin rae kolkil moy vusu;tinkin rae vusu rae vusu moy tinkin;kolkil moy kolkil rae vusu rae solson","left","atop","false"
"15","A49","C",2,1,"kuka;tultol;vinkin;solsil;kuka rae vinkin;tultol moy kuka;kuka moy solsil;solsil rae tultol;vinkin moy solsil;solsil moy vinkin;vinkin rae kuka;tultol rae vinkin;solsil moy kuka;vinkin rae tultol;kuka moy tultol;tultol rae solsil;solsil rae solsil vinkin rae;vinkin moy kuka rae solsil;kuka rae vinkin moy kuka;kuka rae solsil moy vinkin;vinkin rae vinkin rae tultol;vinkin moy solsil rae solsil;vinkin rae tultol moy vinkin;vinkin rae kuka moy solsil;vinkin moy vinkin rae kuka;solsil moy solsil moy kuka;vinkin rae vinkin moy kuka;tultol moy vinkin moy kuka;solsil moy vinkin moy solsil rae vinkin;vinkin moy vinkin moy tultol rae tultol;solsil kuka solsil moy tultol moy solsil;tultol moy tultol rae solsil rae kuka;vinkin rae kuka moy tultol moy kuka;vinkin moy kuka moy tultol moy vinkin;kuka moy kuka rae kuka rae solsil;solsil vinkin rae tultol rae vinkin rae;vinkin moy vinkin moy solsil rae kuka;tultol rae tultol moy solsil moy kuka;kuka rae kuka rae tultol moy tultol;vinkin rae kuka rae solsil moy solsil","left","atop","false"
"21","A4","D",2,8,"titil;vuntun;silvil;kaku;rae titil silvil;moy vuntun titil;moy kaku titil;rae kaku vuntun;moy silvil kaku;silvil kaku moy;titil rae silvil;rae silvil vuntun;moy kaku titil;vuntun silvil rae;moy kaku titil;vuntun kaku rae;rae kaku silvil kaku rae;moy titil silvil rae kaku;titil moy titil rae silvil;titil kaku moy silvil rae;silvil vuntun rae silvil rae;kaku vuntun kaku rae moy;rae silvil silvil moy vuntun;titil kaku rae moy vuntun;vuntun vuntun rae titil moy;moy kaku kaku titil titil;titil rae vuntun vuntun rae;vuntun moy silvil titil moy;kaku moy silvil kaku rae silvil rae;vuntun moy silvil silvil rae vuntun rae;kaku moy kaku rae vuntun moy kaku;vuntun vuntun rae kaku vuntun rae titil;silvil rae titil moy vuntun moy titil;silvil moy titil moy vuntun moy silvil;titil rae titil rae kaku moy titil;kaku rae silvil rae vuntun rae silvil;kaku moy silvil rae titil moy silvil;titil moy kaku moy vuntun rae vuntun;vuntun moy titil rae titil rae vuntun;silvil rae titil rae kaku rae kaku","right","atop","false"
"27","A48","E",2,6,"soko;vilval;tulkul;kinsin;tulkul moy soko;soko moy vilval;kinsin moy soko;vilval rae kinsin;kinsin moy tulkul;tulkul moy kinsin;soko moy tulkul;vilval moy tulkul;soko moy kinsin;tulkul rae vilval;vilval moy soko;kinsin rae vilval;kinsin rae kinsin rae tulkul;kinsin rae soko moy tulkul;soko rae soko moy tulkul;tulkul moy kinsin rae soko;vilval rae tulkul rae tulkul;kinsin rae kinsin moy vilval;tulkul moy vilval rae tulkul;kinsin moy soko rae vilval;soko rae vilval moy vilval;soko moy kinsin moy kinsin;vilval rae vilval soko moy;vilval soko moy tulkul moy;tulkul rae kinsin moy tulkul moy kinsin;vilval rae vilval moy tulkul moy tulkul;kinsin moy vilval moy kinsin rae vilval;soko rae kinsin rae vilval moy vilval;soko moy vilval moy soko rae tulkul;tulkul moy vilval moy soko moy tulkul;kinsin rae soko rae soko moy soko;tulkul rae vilval rae tulkul rae kinsin;soko rae kinsin moy tulkul moy tulkul;soko moy kinsin moy vilval rae vilval;vilval moy vilval rae soko rae soko;vilval moy kinsin rae soko rae tulkul","right","atop","false"
"33","A50","F",2,9,"valtal;kolkul;siso;tontin;valtal rae siso;kolkul moy valtal;tontin moy valtal;tontin rae kolkul;tontin moy siso;tontin moy siso;siso rae valtal;siso rae kolkul;tontin moy valtal;kolkul rae siso;kolkul moy valtal;kolkul rae tontin;tontin rae tontin rae siso;tontin rae valtal moy siso;valtal moy siso rae valtal;siso moy tontin rae valtal;kolkul rae siso rae siso;tontin rae tontin moy kolkul;siso moy kolkul rae siso;tontin moy valtal rae kolkul;valtal rae kolkul moy kolkul;valtal moy tontin moy tontin;valtal moy kolkul rae kolkul;valtal moy siso moy kolkul;siso rae tontin moy siso moy tontin;kolkul rae kolkul moy siso moy siso;tontin moy kolkul moy tontin rae tontin;valtal rae tontin rae kolkul moy kolkul;valtal moy kolkul moy valtal rae siso;siso moy kolkul moy valtal moy siso;tontin rae valtal rae valtal moy valtal;siso rae kolkul rae siso rae tontin;valtal rae tontin moy siso moy siso;valtal moy tontin moy kolkul rae kolkul;kolkul moy kolkul rae valtal rae valtal;tontin moy tontin rae valtal rae siso","right","atop","false"
"39","A34","G",2,9,"valtal;kolkul;siso;tontin;siso rae valtal;kolkul moy valtal;valtal moy tontin;kolkul rae tontin;siso moy tontin;tontin moy rae;valtal rae siso;kolkul rae siso;tontin moy valtal;siso rae kolkul;valtal moy kolkul;tontin rae kolkul;siso rae tontin tontin tontin;siso moy valtal rae tontin;siso moy valtal rae valtal;valtal rae tontin moy siso;siso rae kolkul siso siso;kolkul moy tontin rae tontin;siso kolkul moy siso kolkul;kolkul rae valtal moy tontin;kolkul moy kolkul rae valtal;tontin moy tontin moy valtal;kolkul rae kolkul moy valtal;kolkul moy siso moy valtal;tontin moy siso moy tontin rae siso;siso moy siso moy kolkul rae kolkul;tontin rae tontin moy kolkul moy tontin;kolkul moy kolkul rae tontin rae valtal;siso rae valtal moy kolkul moy valtal;siso moy valtal moy kolkul moy siso;moy valtal rae valtal rae tontin valtal;tontin rae siso rae kolkul rae siso;siso moy siso moy tontin rae valtal;kolkul rae kolkul moy tontin moy valtal;siso rae siso rae kolkul moy kolkul;siso rae valtal rae tontin moy tontin","left","under","false"
"45","A10","H",2,2,"sulsal;tinkin;kakan;volsol;sulsal rae tinkin;tinkin moy sulsal;sulsal moy volsol;tinkin rae volsol;tinkin moy volsol;volsol moy tinkin;sulsal rae kakan;tinkin rae kakan;volsol moy sulsal;tinkin rae kakan;sulsal moy tinkin;volsol rae tinkin;tinkin rae volsol rae volsol;tinkin sulsal rae volsol moy;tinkin moy volsol rae volsol;sulsal rae volsol tinkin rae;tinkin rae tinkin rae kakan;tinkin moy volsol rae rae;tinkin rae kakan moy kakan;tinkin rae sulsal moy volsol;tinkin moy tinkin rae sulsal;volsol rae volsol rae sulsal;tinkin rae tinkin rae sulsal;tinkin moy kakan moy sulsal;volsol moy kakan moy volsol rae kakan;kakan moy kakan moy tinkin rae tinkin;volsol rae volsol moy tinkin moy volsol;tinkin moy tinkin rae volsol rae sulsal;kakan rae sulsal moy tinkin moy sulsal;kakan moy sulsal moy tinkin moy kakan;sulsal moy sulsal rae sulsal rae volsol;volsol rae tinkin rae tinkin rae kakan;kakan moy kakan moy volsol rae sulsal;tinkin rae tinkin moy volsol moy sulsal;sulsal rae sulsal rae tinkin moy tinkin;tinkin rae sulsal rae volsol moy volsol","right","atop","false"
"51","A1","I",2,6,"soko;vilval;tulkul;kinsin;soko rae tulkul;vilval moy soko;soko moy kinsin;kinsin rae vilval;tulkul moy kinsin;kinsin moy tulkul;tulkul rae soko;tulkul rae vilval;soko moy kinsin;vilval rae tulkul;soko moy vilval;vilval rae kinsin;kinsin kinsin rae tulkul rae;kinsin rae soko moy tulkul;soko moy tulkul rae soko;kinsin moy tulkul rae soko;tulkul rae tulkul rae vilval;kinsin rae kinsin moy vilval;vilval rae tulkul moy tulkul;moy kinsin rae vilval soko;vilval moy vilval rae soko;kinsin moy kinsin moy soko;vilval rae vilval moy soko;vilval moy tulkul moy soko;kinsin moy tulkul moy tulkul rae kinsin;tulkul moy tulkul moy vilval rae vilval;moy vilval rae kinsin moy kinsin kinsin;soko rae kinsin rae vilval moy vilval;soko moy vilval moy soko rae tulkul;tulkul moy soko moy vilval moy tulkul;soko moy kinsin rae soko rae soko;tulkul rae rae tulkul rae kinsin tulkul;tulkul moy soko rae tulkul moy kinsin;vilval rae vilval moy kinsin moy soko;vilval rae soko rae soko moy vilval;kinsin moy kinsin rae soko rae tulkul","right","atop","false"
"57","A8","J",2,5,"toltul;vivin;sasan;koto;rae sasan toltul;moy vivin toltul;moy toltul koto;rae koto vivin;moy sasan koto;moy koto sasan;rae sasan toltul;rae sasan vivin;moy toltul koto;rae vivin sasan;moy toltul vivin;rae vivin koto;rae sasan koto koto rae;moy sasan rae toltul vivin;rae toltul sasan moy toltul;moy koto sasan rae toltul;rae vivin koto koto rae;moy vivin rae koto koto;rae koto sasan moy sasan;moy toltul koto rae vivin;rae toltul moy vivin vivin;rae koto koto toltul rae;rae toltul toltul moy toltul;moy vivin sasan moy toltul;moy koto sasan moy sasan koto rae;rae vivin moy sasan sasan vivin moy;moy koto vivin rae koto moy koto;rae toltul koto rae vivin vivin moy;moy toltul moy vivin moy toltul rae;moy sasan toltul moy vivin moy sasan;moy toltul rae koto toltul toltul rae;rae sasan vivin rae sasan koto rae;moy sasan rae toltul moy sasan koto;rae vivin vivin moy koto toltul moy;rae toltul toltul vivin moy vivin moy;moy koto koto rae toltul rae sasan","right","under","false"
"63","A9","K",2,4,"tuntul;vinkin;sosi;kanka;sosi rae tuntul;moy tuntul vinkin;moy kanka tuntul;rae kanka vinkin;moy kanka sosi;rae sosi tuntul;rae vinkin sosi;moy tuntul kanka;moy tuntul kanka;sosi rae tuntul;moy vinkin tuntul;rae vinkin kanka;rae sosi kanka kanka rae;rae kanka tuntul moy sosi;rae tuntul moy sosi tuntul;rae sosi kanka moy tuntul;rae vinkin sosi sosi rae;vinkin moy rae kanka kanka;moy sosi rae vinkin sosi;moy kanka tuntul rae vinkin;tuntul rae vinkin vinkin kanka;kanka moy kanka moy tuntul;vinkin rae vinkin moy tuntul;vinkin moy sosi moy tuntul;kanka moy sosi moy sosi rae kanka;vinkin rae sosi moy sosi moy vinkin;kanka moy vinkin rae kanka rae kanka;tuntul rae kanka rae vinkin moy vinkin;tuntul moy vinkin moy tuntul rae sosi;sosi moy tuntul moy vinkin moy sosi;tuntul moy kanka rae tuntul rae tuntul;sosi rae vinkin rae sosi rae kanka;sosi moy tuntul rae sosi moy kanka;vinkin rae vinkin moy kanka moy tuntul;vinkin rae tuntul rae tuntul moy vinkin;kanka moy kanka rae tuntul rae sosi","right","under","false"
"69","A16","L",2,0,"kilkul;vanva;tovo;sunsin;tovo rae kilkul;kilkul moy vanva;sunsin moy kilkul;vanva rae sunsin;sunsin moy tovo;tovo rae sunsin;kilkul rae tovo;vanva rae tovo;kilkul moy sunsin;tovo rae vanva;vanva moy kilkul;sunsin rae vanva;tovo rae sunsin rae sunsin;kilkul rae sunsin moy tovo;kilkul moy tovo rae kilkul;kilkul rae tovo moy sunsin;tovo rae tovo rae vanva;sunsin rae sunsin moy vanva;tovo moy tovo rae vanva;vanva rae sunsin moy kilkul;vanva moy vanva rae kilkul;kilkul moy sunsin moy sunsin;kilkul moy vanva rae vanva;kilkul moy tovo moy vanva;sunsin rae tovo moy tovo moy sunsin;vanva moy tovo moy tovo rae vanva;sunsin moy sunsin rae vanva moy sunsin;vanva moy vanva rae sunsin rae kilkul;tovo rae kilkul moy vanva moy kilkul;tovo moy vanva moy kilkul moy tovo;kilkul rae kilkul rae sunsin moy kilkul;sunsin rae tovo rae vanva rae tovo;sunsin moy tovo rae kilkul moy tovo;kilkul moy sunsin moy vanva rae vanva;vanva rae kilkul kilkul rae vanva moy;tovo rae kilkul rae sunsin moy sunsin","right","under","false"
"4","A31","A",3,7,"sisu;vinvi;konkan;tulsul;sisu rae konkan;vinvi moy sisu;sisu moy tulsul;vinvi rae tulsul;konkan moy tulsul;tulsul moy konkan;sisu rae konkan;vinvi rae konkan;tulsul moy sisu;konkan rae vinvi;sisu moy vinvi;tulsul rae vinvi;konkan rae tulsul rae tulsul;konkan moy tulsul sisu rae;sisu rae konkan moy sisu;tulsul moy konkan moy vinvi;vinvi rae konkan rae konkan;vinvi moy tulsul rae tulsul;vinvi rae konkan moy konkan;sisu moy konkan rae vinvi;sisu rae vinvi moy vinvi;tulsul moy tulsul moy sisu;vinvi rae vinvi moy sisu;vinvi moy konkan moy sisu;tulsul moy konkan moy konkan rae tulsul;vinvi rae konkan moy konkan moy vinvi;tulsul moy vinvi rae tulsul moy tulsul;sisu rae tulsul rae vinvi moy vinvi;sisu moy vinvi moy sisu rae konkan;konkan moy sisu moy vinvi moy konkan;sisu moy tulsul rae sisu rae sisu;konkan rae vinvi rae konkan rae tulsul;konkan moy sisu rae konkan moy tulsul;vinvi rae vinvi moy tulsul moy sisu;vinvi rae sisu rae sisu moy vinvi;tulsul moy tulsul rae sisu rae konkan","right","atop","false"
"10","A35","B",3,3,"vusu;tinkin;solson;kolkil;vusu rae solson;tinkin moy vusu;vusu moy kolkil;kolkil rae tinkin;solson moy kolkil;kolkil moy solson;solson rae vusu;solson rae tinkin;kolkil moy vusu;tinkin rae solson;vusu moy tinkin;tinkin rae kolkil;kolkil kolkil rae solson rae;kolkil rae vusu solson moy;solson moy vusu rae vusu;kolkil moy solson rae vusu;tinkin rae solson solson rae;tinkin moy kolkil kolkil rae;tinkin rae solson moy solson;vusu moy kolkil rae tinkin;vusu rae tinkin moy tinkin;kolkil kolkil moy vusu moy;solson rae solson moy vusu;tinkin moy solson moy vusu;kolkil moy solson moy solson rae kolkil;solson moy solson moy tinkin rae tinkin;kolkil moy tinkin rae kolkil moy kolkil;vusu rae kolkil rae tinkin moy tinkin;solson rae vusu kolkil vusu rae rae;solson moy vusu moy tinkin moy solson;vusu rae vusu rae kolkil moy vusu;kolkil rae solson rae tinkin rae solson;vusu rae solson moy kolkil moy solson;tinkin rae tinkin moy kolkil moy vusu;tinkin rae vusu rae vusu moy tinkin;kolkil moy kolkil rae vusu rae solson","left","atop","false"
"16","A2","C",3,1,"kuka;tultol;vinkin;solsil;kuka rae vinkin;tultol moy kuka;kuka moy solsil;solsil rae tultol;vinkin moy solsil;solsil moy vinkin;vinkin rae kuka;vinkin rae tultol;solsil moy kuka;tultol rae vinkin;kuka moy tultol;tultol rae solsil;solsil rae solsil rae vinkin;vinkin moy solsil rae kuka;kuka rae vinkin moy kuka;solsil moy vinkin rae kuka;tultol rae vinkin rae vinkin;tultol moy solsil rae solsil;tultol rae vinkin moy vinkin;kuka solsil rae tultol moy;kuka rae tultol moy tultol;solsil moy solsil moy kuka;tultol rae tultol moy kuka;tultol moy vinkin moy kuka;solsil moy vinkin moy vinkin rae solsil;tultol rae vinkin moy vinkin moy tultol;solsil moy tultol rae solsil moy solsil;kuka rae solsil rae tultol moy tultol;kuka moy tultol moy kuka rae vinkin;vinkin moy kuka moy tultol moy vinkin;kuka moy solsil rae kuka rae kuka;vinkin rae tultol rae vinkin rae solsil;vinkin moy kuka rae vinkin moy solsil;tultol rae tultol moy solsil moy kuka;tultol rae kuka rae kuka moy tultol;solsil moy solsil rae kuka rae vinkin","right","atop","false"
"22","A12","D",3,8,"titil;vuntun;silvil;kaku;silvil rae titil;vuntun moy titil;titil moy kaku;vuntun rae kaku;silvil moy kaku;silvil moy kaku;titil rae silvil;vuntun rae silvil;titil moy kaku;silvil rae vuntun;vuntun moy titil;kaku rae vuntun;silvil rae kaku rae kaku;titil rae kaku silvil moy;titil moy silvil rae titil;titil rae moy kaku silvil;silvil rae rae vuntun silvil;kaku rae kaku vuntun moy;silvil rae vuntun moy silvil;vuntun rae titil moy kaku;vuntun moy vuntun rae titil;kaku moy kaku moy titil;vuntun rae vuntun moy titil;vuntun moy silvil moy titil;kaku moy silvil moy kaku rae silvil;silvil moy silvil moy vuntun rae vuntun;kaku rae kaku moy vuntun moy kaku;vuntun moy vuntun rae kaku kaku titil;silvil rae titil moy vuntun moy titil;silvil moy titil moy vuntun moy silvil;silvil rae silvil rae kaku moy titil;kaku rae silvil rae vuntun rae silvil;silvil moy kaku rae titil moy silvil;vuntun rae vuntun moy kaku moy titil;titil rae titil rae vuntun moy vuntun;silvil rae titil rae kaku moy kaku","right","atop","false"
"28","A25","E",3,6,"soko;vilval;tulkul;kinsin;soko moy tulkul;soko moy vilval;kinsin moy soko;kinsin rae vilval;kinsin moy tulkul;tulkul moy kinsin;tulkul moy soko;tulkul rae vilval;soko moy kinsin;vilval rae tulkul;vilval moy soko;vilval rae kinsin;kinsin rae kinsin rae tulkul;kinsin rae soko moy tulkul;soko moy soko moy tulkul;tulkul moy kinsin rae soko;vilval rae tulkul rae tulkul;kinsin rae kinsin moy vilval;tulkul moy vilval rae tulkul;kinsin moy soko rae vilval;soko rae vilval moy vilval;soko moy kinsin moy kinsin;soko moy vilval rae vilval;soko moy tulkul moy vilval;tulkul rae vilval moy kinsin moy kinsin;vilval rae vilval moy tulkul moy tulkul;kinsin moy kinsin rae vilval moy kinsin;soko rae kinsin rae vilval moy vilval;soko moy vilval moy soko rae tulkul;tulkul moy vilval moy soko moy tulkul;kinsin rae soko rae soko moy soko;tulkul rae vilval moy rae kinsin kinsin;soko rae kinsin moy tulkul moy tulkul;soko moy kinsin moy vilval rae vilval;vilval moy vilval rae soko rae soko;kinsin moy kinsin rae soko moy tulkul","right","atop","false"
"34","A14","F",3,9,"valtal;kolkul;siso;tontin;valtal rae siso;valtal moy kolkul;tontin moy valtal;tontin rae kolkul;tontin moy siso;siso moy tontin;siso rae valtal;siso rae kolkul;valtal moy tontin;kolkul rae siso;kolkul moy valtal;kolkul rae tontin;tontin rae tontin rae siso;tontin rae valtal moy siso;valtal moy siso rae valtal;siso rae tontin moy valtal;tontin rae siso rae siso;tontin rae tontin moy kolkul;siso moy kolkul rae siso;tontin moy valtal rae kolkul;valtal rae kolkul moy kolkul;valtal moy tontin moy tontin;valtal moy tontin rae tontin;valtal moy siso moy tontin;siso rae tontin moy siso moy tontin;kolkul rae kolkul moy siso moy siso;tontin moy kolkul moy tontin rae tontin;valtal rae tontin rae kolkul moy kolkul;valtal moy kolkul moy valtal rae siso;siso moy kolkul moy valtal moy siso;tontin rae valtal rae valtal moy valtal;siso rae kolkul rae siso rae tontin;valtal rae tontin moy siso moy siso;valtal moy tontin moy kolkul rae kolkul;kolkul moy kolkul rae valtal rae valtal;tontin moy tontin rae valtal rae siso","right","atop","false"
"40","A43","G",3,9,"valtal;kolkul;siso;tontin;siso rae valtal;kolkul moy valtal;valtal moy tontin;kolkul rae tontin;siso moy tontin;tontin moy siso;valtal rae siso;kolkul rae siso;tontin moy valtal;siso rae kolkul;valtal moy kolkul;tontin rae kolkul;siso rae tontin tontin tontin;siso moy valtal rae tontin;siso moy valtal rae valtal;valtal rae tontin moy siso;siso rae siso rae kolkul;kolkul moy tontin rae tontin;siso moy kolkul siso siso;kolkul rae valtal moy tontin;kolkul moy valtal rae kolkul;tontin tontin moy valtal valtal;kolkul kolkul moy valtal kolkul;kolkul siso moy valtal valtal;tontin siso moy siso rae tontin tontin;siso siso siso moy valtal rae kolkul;tontin kolkul moy tontin moy tontin tontin;kolkul kolkul kolkul rae tontin rae valtal;siso rae valtal kolkul moy valtal valtal;siso moy valtal moy kolkul moy siso;valtal moy tontin valtal rae valtal valtal;tontin rae siso rae kolkul rae siso;siso siso moy siso tontin rae valtal;kolkul kolkul moy tontin moy valtal valtal;valtal valtal rae kolkul moy kolkul kolkul;siso rae valtal rae tontin tontin tontin","left","under","false"
"46","A32","H",3,2,"sulsal;tinkin;kakan;volsol;kakan rae sulsal;tinkin moy sulsal;sulsal sulsal moy;tinkin rae volsol;kakan moy volsol;volsol moy kakan;sulsal rae kakan;tinkin rae kakan;volsol moy sulsal;kakan rae tinkin;sulsal moy tinkin;volsol rae tinkin;kakan volsol rae rae volsol;kakan moy sulsal rae volsol;kakan sulsal rae sulsal rae;sulsal rae volsol moy kakan;kakan rae kakan rae tinkin;tinkin moy volsol rae volsol;kakan rae tinkin moy kakan;tinkin rae sulsal moy volsol;tinkin moy tinkin rae sulsal;volsol moy volsol moy sulsal;tinkin rae tinkin moy sulsal;tinkin moy kakan moy sulsal;volsol moy kakan moy volsol rae kakan;kakan moy kakan moy tinkin rae tinkin;volsol rae volsol moy tinkin moy volsol;tinkin moy tinkin rae volsol rae sulsal;kakan rae sulsal moy tinkin moy sulsal;kakan moy sulsal moy tinkin moy kakan;sulsal moy sulsal rae sulsal rae volsol;volsol rae kakan rae tinkin rae kakan;kakan moy kakan volsol rae sulsal rae;tinkin rae tinkin moy volsol moy sulsal;sulsal rae sulsal rae tinkin moy tinkin;kakan rae sulsal rae volsol moy volsol","right","atop","false"
"52","A39","I",3,6,"soko;vilval;tulkul;kinsin;soko rae tulkul;vilval moy soko;soko moy kinsin;kinsin rae vilval;tulkul moy kinsin;kinsin moy tulkul;tulkul rae soko;tulkul rae vilval;kinsin moy soko;vilval rae tulkul;soko moy vilval;vilval rae kinsin;kinsin kinsin rae tulkul rae;kinsin rae soko moy tulkul;soko moy tulkul rae soko;kinsin moy tulkul rae soko;tulkul rae tulkul rae vilval;kinsin rae kinsin moy vilval;vilval rae tulkul moy tulkul;moy kinsin rae vilval soko;vilval moy vilval rae soko;kinsin moy kinsin moy soko;vilval rae vilval moy soko;vilval moy tulkul moy soko;kinsin moy tulkul moy kinsin rae tulkul;tulkul moy tulkul moy vilval rae vilval;kinsin moy kinsin rae kinsin rae vilval;vilval moy vilval rae kinsin rae soko;tulkul rae soko rae vilval rae soko;tulkul moy soko moy vilval moy tulkul;soko rae soko rae kinsin moy soko;kinsin rae tulkul rae vilval rae tulkul;tulkul moy tulkul rae kinsin rae soko;vilval rae vilval moy kinsin moy soko;soko rae soko rae vilval moy vilval;rae kinsin moy kinsin rae soko tulkul","right","atop","false"
