"","workerId","chain","generation","nouns","strings","prepM","prepR","swap"
"67","ZeroL","L",0,0,"kilkul;vanva;tovo;sunsin;kilkul tovo rae;kilkul vanva moy;sunsin kilkul moy;vanva sunsin rae;moy tovo sunsin;moy sunsin tovo;tovo kilkul rae;tovo vanva rae;kilkul moy sunsin;tovo rae vanva;vanva moy kilkul;sunsin rae vanva;sunsin tovo rae rae sunsin;rae kilkul sunsin moy tovo;kilkul moy kilkul rae tovo;sunsin tovo rae kilkul moy;tovo rae rae tovo vanva;vanva moy rae sunsin sunsin;tovo tovo vanva rae moy;rae vanva moy sunsin kilkul;vanva moy kilkul rae vanva;moy kilkul sunsin sunsin moy;moy rae vanva vanva kilkul;vanva moy kilkul moy tovo;rae moy sunsin tovo sunsin moy tovo;moy rae vanva vanva moy tovo tovo;moy sunsin vanva sunsin moy rae sunsin;vanva rae kilkul sunsin vanva rae moy;kilkul moy moy rae vanva kilkul tovo;vanva moy tovo kilkul moy tovo moy;rae sunsin kilkul rae kilkul moy kilkul;rae tovo tovo vanva rae rae sunsin;tovo kilkul sunsin tovo moy rae moy;moy vanva kilkul moy sunsin rae vanva;rae moy kilkul kilkul rae vanva vanva;tovo sunsin kilkul rae sunsin moy rae","right","under","false"
"2","A40","A",1,7,"sisu;vinvi;konkan;tulsul;sisu konkan rae;vinvi sisu moy;sisu tulsul moy;tulsul vinvi rae;konkan tulsul moy;tulsul konkan moy;konkan sisu moy;konkan vinvi rae;tulsul sisu moy;vinvi konkan rae;sisu vinvi moy;vinvi tulsul rae;vinvi tulsul tulsul konkan vinvi;konkan moy tulsul sisu rae;sisu rae konkan sisu moy;tulsul konkan moy sisu rae;konkan rae konkan vinvi rae;vinvi moy tulsul tulsul rae;vinvi konkan rae moy konkan;sisu tulsul moy vinvi rae;vinvi vinvi moy rae sisu;tulsul tulsul sisu moy moy;vinvi vinvi rae sisu moy;vinvi konkan moy sisu moy;tulsul konkan moy konkan tulsul rae rae;konkan konkan moy vinvi vinvi rae vinvi;tulsul rae tulsul vinvi moy tulsul moy;vinvi vinvi moy tulsul rae sisu rae;sisu vinvi moy sisu moy konkan rae;konkan sisu moy vinvi konkan moy moy;sisu moy sisu sisu rae tulsul rae;tulsul konkan rae vinvi konkan rae konkan;konkan konkan tulsul moy sisu rae konkan;vinvi vinvi rae tulsul moy sisu moy;sisu sisu vinvi rae vinvi moy rae;konkan sisu rae tulsul tulsul rae moy","left","atop","false"
"8","A51","B",1,3,"vusu;tinkin;solson;kolkil;vusu rae solson;tinkin moy vusu;vusu moy kolkil;kolkil rae tinkin;solson moy kolkil;kolkil moy solson;kolkil solson rae;solson rae tinkin;kolkil moy vusu;tinkin rae solson;vusu moy tinkin;tinkin rae kolkil;rae kolkil kolkil rae solson;solson moy kolkil rae vusu;rae vusu solson moy vusu;kolkil moy solson rae vusu;tinkin rae solson rae solson;tinkin moy rae kolkil kolkil;tinkin rae solson moy solson;vusu moy rae kolkil solson;rae vusu tinkin moy tinkin;kolkil moy kolkil moy vusu;tinkin rae tinkin moy vusu;tinkin moy solson vusu moy;kolkil moy solson moy rae solson kolkil;rae tinkin solson moy solson moy tinkin;rae kolkil moy tinkin rae kolkil moy;vusu rae kolkil rae rae moy tinkin;vusu moy tinkin moy vusu rae solson;solson moy vusu moy tinkin moy solson;vusu moy rae kolkil rae vusu rae;solson rae tinkin rae solson rae kolkil;solson moy rae vusu moy solson kolkil;rae tinkin tinkin moy kolkil moy vusu;rae tinkin vusu rae vusu moy tinkin;moy kolkil kolkil rae vusu rae solson","left","atop","false"
"14","A11","C",1,1,"kuka;tultol;vinkin;solsil;kuka rae vinkin;tultol moy kuka;kuka moy solsil;solsil rae tultol;vinkin moy solsil;solsil moy vinkin;vinkin rae kuka;tultol rae vinkin;solsil moy kuka;vinkin rae tultol;kuka moy tultol;solsil rae tultol;vinkin rae solsil solsil rae;vinkin moy kuka rae solsil;vinkin moy kuka rae kuka;kuka rae solsil moy vinkin;vinkin rae vinkin rae tultol;vinkin moy solsil rae solsil;vinkin rae tultol moy vinkin;vinkin rae kuka moy solsil;tultol moy tultol rae kuka;solsil moy solsil moy kuka;tultol rae tultol moy kuka;tultol moy tultol moy kuka;solsil moy vinkin moy vinkin rae solsil;vinkin moy vinkin moy tultol rae tultol;solsil moy solsil rae solsil moy tultol;tultol moy tultol rae solsil rae kuka;vinkin rae kuka moy vinkin moy kuka;vinkin moy kuka moy tultol moy vinkin;kuka moy kuka rae kuka rae solsil;solsil rae vinkin rae tultol rae vinkin;vinkin moy vinkin moy solsil rae kuka;vinkin rae tultol moy solsil moy kuka;kuka rae kuka rae tultol moy tultol;vinkin rae kuka rae solsil moy solsil","left","atop","false"
"20","A5","D",1,8,"titil;vuntun;silvil;kaku;rae titil silvil;moy vuntun titil;moy kaku titil;rae kaku vuntun;moy silvil kaku;silvil kaku moy;titil rae silvil;rae silvil vuntun;moy kaku titil;rae silvil vuntun;moy kaku vuntun;rae vuntun kaku;rae kaku silvil kaku rae;moy titil silvil rae kaku;titil moy titil rae silvil;titil kaku moy silvil rae;silvil vuntun rae silvil rae;kaku vuntun kaku rae moy;rae silvil silvil moy vuntun;titil kaku rae moy vuntun;titil moy vuntun rae vuntun;kaku moy kaku moy titil;rae vuntun titil moy vuntun;vuntun moy silvil moy titil;kaku moy silvil moy silvil rae kaku;moy vuntun vuntun rae vuntun vuntun silvil;kaku moy silvil rae kaku moy kaku;vuntun moy vuntun kaku rae titil titil;titil moy vuntun moy titil rae silvil;silvil moy titil moy vuntun moy silvil;titil moy kaku rae titil rae titil;silvil rae vuntun rae silvil rae kaku;silvil moy titil rae silvil moy kaku;silvil rae silvil moy kaku moy titil;vuntun rae titil rae titil moy vuntun;kaku rae kaku rae titil rae silvil","right","atop","false"
"26","A45","E",1,6,"soko;vilval;tulkul;kinsin;tulkul rae soko;soko moy vilval;kinsin moy soko;kinsin rae vilval;kinsin moy tulkul;tulkul moy kinsin;tulkul rae soko;tulkul rae vilval;soko moy kinsin;vilval rae tulkul;vilval moy soko;vilval rae kinsin;kinsin kinsin rae tulkul rae;kinsin rae soko moy tulkul;soko rae soko moy tulkul;tulkul moy kinsin rae soko;vilval rae tulkul rae tulkul;kinsin rae kinsin moy vilval;vilval rae tulkul moy tulkul;soko moy kinsin rae vilval;soko rae vilval moy vilval;soko moy kinsin moy kinsin;soko moy vilval rae vilval;soko moy tulkul moy vilval;tulkul rae kinsin moy tulkul moy kinsin;vilval rae vilval moy tulkul moy tulkul;kinsin moy vilval moy kinsin rae kinsin;soko rae kinsin rae vilval moy vilval;soko moy vilval moy soko rae tulkul;tulkul moy vilval moy soko moy tulkul;kinsin rae soko rae soko moy soko;tulkul rae vilval rae tulkul rae kinsin;soko rae kinsin moy tulkul moy tulkul;soko moy kinsin moy vilval rae vilval;vilval moy vilval rae soko rae soko;kinsin moy kinsin rae soko rae tulkul","right","atop","false"
"32","A15","F",1,9,"valtal;kolkul;siso;tontin;valtal rae siso;valtal moy valtal;valtal moy tontin;tontin rae kolkul;siso moy tontin;tontin moy siso;siso rae kolkul;siso rae kolkul;tontin moy kolkul;kolkul moy rae;valtal moy kolkul;kolkul rae tontin;tontin rae tontin rae siso;siso moy tontin rae valtal;valtal rae siso moy valtal;tontin moy siso rae valtal;kolkul rae siso rae siso;kolkul moy tontin rae tontin;kolkul moy siso moy rae;valtal moy tontin rae kolkul;valtal rae kolkul moy kolkul;tontin moy tontin moy valtal;kolkul rae kolkul moy valtal;kolkul moy siso moy valtal;tontin moy siso moy siso rae tontin;kolkul rae siso moy siso moy kolkul;tontin moy kolkul rae tontin moy tontin;kolkul valtal rae kolkul moy tontin kolkul;valtal moy kolkul moy valtal rae siso;siso moy valtal moy kolkul moy siso;valtal moy tontin rae valtal rae valtal;siso rae kolkul rae siso rae tontin;siso moy valtal rae siso moy tontin;kolkul rae kolkul moy tontin moy kolkul;kolkul rae valtal rae valtal moy kolkul;tontin moy tontin rae valtal rae siso","right","atop","false"
"38","A58","G",1,9,"valtal;kolkul;siso;tontin;siso rae valtal;kolkul moy valtal;valtal moy tontin;kolkul rae tontin;siso moy tontin;siso moy tontin;valtal rae siso;kolkul rae siso;tontin moy valtal;siso rae kolkul;valtal moy kolkul;tontin rae kolkul;siso tontin tontin rae rae;siso moy valtal rae tontin;siso moy valtal rae valtal;valtal rae tontin moy siso;siso rae siso rae kolkul;kolkul moy tontin rae tontin;siso rae kolkul moy siso;moy valtal tontin rae kolkul;kolkul moy kolkul rae valtal;tontin moy tontin moy valtal;kolkul rae kolkul moy valtal;kolkul moy siso moy valtal;tontin moy siso moy tontin rae siso;siso moy siso moy kolkul rae kolkul;moy tontin tontin rae tontin moy kolkul;kolkul moy kolkul rae tontin rae valtal;siso rae valtal moy kolkul moy valtal;siso moy valtal moy kolkul moy siso;valtal moy valtal moy tontin moy valtal;tontin moy siso moy kolkul rae siso;siso moy siso moy tontin rae valtal;kolkul rae kolkul moy tontin moy valtal;valtal rae valtal rae kolkul moy kolkul;siso rae valtal rae tontin moy tontin","left","under","false"
"44","A23","H",1,2,"sulsal;tinkin;kakan;volsol;sulsal rae kakan;sulsal moy tinkin;sulsal volsol moy;volsol rae tinkin;volsol kakan moy;kakan moy volsol;kakan rae sulsal;kakan rae tinkin;sulsal volsol moy;tinkin rae kakan;kakan moy tinkin;rae tinkin volsol;rae kakan volsol rae volsol;kakan moy volsol rae sulsal;sulsal rae kakan kakan moy;rae kakan moy volsol sulsal;rae kakan rae rae tinkin;moy tinkin volsol rae volsol;rae tinkin kakan moy kakan;volsol moy sulsal rae tinkin;tinkin moy tinkin rae sulsal;sulsal moy volsol moy volsol;sulsal moy tinkin tinkin rae;sulsal moy kakan moy tinkin;rae kakan tinkin moy kakan volsol moy;rae tinkin tinkin moy kakan moy kakan;tinkin moy volsol rae tinkin moy volsol;rae sulsal rae volsol tinkin moy tinkin;sulsal moy tinkin moy sulsal rae kakan;moy kakan moy tinkin moy sulsal moy;moy sulsal sulsal rae sulsal rae volsol;kakan rae tinkin rae kakan rae volsol;sulsal rae tinkin kakan moy moy kakan;sulsal volsol moy moy tinkin rae tinkin;tinkin sulsal moy rae sulsal tinkin rae;volsol volsol moy rae sulsal rae kakan","right","atop","false"
"50","A36","I",1,6,"soko;vilval;tulkul;kinsin;soko moy tulkul;soko moy vilval;kinsin moy soko;kinsin rae vilval;kinsin moy tulkul;tulkul moy kinsin;tulkul rae soko;tulkul rae vilval;soko moy kinsin;vilval rae tulkul;tulkul moy soko;tulkul rae kinsin;kinsin rae kinsin rae tulkul;kinsin rae soko tulkul moy;soko rae soko moy tulkul;tulkul moy kinsin soko rae;vilval rae tulkul rae tulkul;kinsin rae kinsin vilval moy;tulkul moy vilval rae tulkul;kinsin moy soko vilval rae;vilval moy vilval soko rae;soko moy kinsin moy kinsin;vilval rae vilval soko moy;soko moy tulkul moy vilval;tulkul rae kinsin moy tulkul moy kinsin;vilval moy tulkul moy tulkul vilval rae;kinsin moy kinsin vilval moy kinsin rae;soko rae kinsin rae vilval moy vilval;soko moy vilval moy soko tulkul rae;tulkul moy vilval moy soko moy tulkul;kinsin rae soko rae soko soko moy;tulkul moy vilval moy tulkul moy kinsin;kinsin moy tulkul soko rae tulkul moy;soko moy kinsin moy vilval vilval rae;vilval moy vilval rae soko rae soko;kinsin moy kinsin soko rae tulkul rae","right","atop","false"
