"","workerId","gen","chain","prepM","prepR","strings","arrayTraining","time","seen","level","encodingCorrected","consonants"
"56","A10",2,"H","right","atop","volsol rae tinkin","[1,[3]]",1597343862,"false","2","vrt","stkv"
"57","A10",2,"H","right","atop","tinkin rae volsol rae volsol","[[3,[3]],[2]]",1597343884,"true","3","trvrv","stkv"
"58","A10",2,"H","right","atop","tinkin sulsal rae volsol moy","[2,[3,[0]]]",1597343916,"true","3","tsrvm","stkv"
"59","A10",2,"H","right","atop","tinkin moy volsol rae volsol","[0,[[2,0]]]",1597343930,"true","3","tmvrv","stkv"
"60","A10",2,"H","right","atop","sulsal rae volsol tinkin rae","[[3,2],[0]]",1597343952,"true","3","srvtr","stkv"
"61","A10",2,"H","right","atop","tinkin rae tinkin rae kakan","[[1,[2]],[2]]",1597343972,"true","3","trtrk","stkv"
"62","A10",2,"H","right","atop","tinkin moy volsol rae rae","[1,[3,[3]]]",1597343988,"true","3","tmvrr","stkv"
"63","A10",2,"H","right","atop","tinkin rae kakan moy kakan","[[1,[2]],2]",1597344008,"true","3","trkmk","stkv"
"64","A10",2,"H","right","atop","tinkin rae sulsal moy volsol","[[0,3],[1]]",1597344030,"true","3","trsmv","stkv"
"65","A10",2,"H","right","atop","tinkin moy tinkin rae sulsal","[0,[[1,1]]]",1597344044,"false","3","tmtrs","stkv"
"66","A10",2,"H","right","atop","volsol rae volsol rae sulsal","[[3,3],0]",1597344061,"false","3","vrvrs","stkv"
"67","A10",2,"H","right","atop","tinkin rae tinkin rae sulsal","[[1,[1]],0]",1597344077,"false","3","trtrs","stkv"
"68","A10",2,"H","right","atop","tinkin moy kakan moy sulsal","[[1,2],0]",1597344094,"false","3","tmkms","stkv"
"69","A10",2,"H","right","atop","volsol moy kakan moy volsol rae kakan","[3,[2,[2,[3]]]]",1597344131,"false","4","vmkmvrk","stkv"
"70","A10",2,"H","right","atop","kakan moy kakan moy tinkin rae tinkin","[1,[[2,[2,1]]]]",1597344155,"false","4","kmkmtrt","stkv"
"71","A10",2,"H","right","atop","volsol rae volsol moy tinkin moy volsol","[[[3,1],[3]],3]",1597344187,"false","4","vrvmtmv","stkv"
"72","A10",2,"H","right","atop","tinkin moy tinkin rae volsol rae sulsal","[0,[[3,[[1,1]]]]]",1597344206,"false","4","tmtrvrs","stkv"
"73","A10",2,"H","right","atop","kakan rae sulsal moy tinkin moy sulsal","[[[0,1],0],[2]]",1597344222,"false","4","krsmtms","stkv"
"74","A10",2,"H","right","atop","kakan moy sulsal moy tinkin moy kakan","[[[2,0],1],2]",1597344236,"false","4","kmsmtmk","stkv"
"75","A10",2,"H","right","atop","sulsal moy sulsal rae sulsal rae volsol","[0,[3,[[0,[0]]]]]",1597344265,"false","4","smsrsrv","stkv"
"76","A10",2,"H","right","atop","volsol rae tinkin rae tinkin rae kakan","[[[2,[1]],[2]],[3]]",1597344280,"false","4","vrtrtrk","stkv"
"77","A10",2,"H","right","atop","kakan moy kakan moy volsol rae sulsal","[2,[0,[[2,3]]]]",1597344299,"false","4","kmkmvrs","stkv"
"78","A10",2,"H","right","atop","tinkin rae tinkin moy volsol moy sulsal","[[[1,[1]],3],0]",1597344313,"false","4","trtmvms","stkv"
"79","A10",2,"H","right","atop","sulsal rae sulsal rae tinkin moy tinkin","[[[1,[0]],[0]],1]",1597344328,"false","4","srsrtmt","stkv"
"80","A10",2,"H","right","atop","tinkin rae sulsal rae volsol moy volsol","[[[3,3],[0]],[2]]",1597344350,"false","4","trsrvmv","stkv"
"81","A11",1,"C","left","atop","kuka","0",1597168577,"true","1","k","ktvs"
"82","A11",1,"C","left","atop","tultol","1",1597168582,"true","1","t","ktvs"
"83","A11",1,"C","left","atop","vinkin","2",1597168586,"true","1","v","ktvs"
"84","A11",1,"C","left","atop","solsil","3",1597168590,"true","1","s","ktvs"
"85","A11",1,"C","left","atop","kuka rae vinkin","[0,[2]]",1597168604,"true","2","krv","ktvs"
"86","A11",1,"C","left","atop","tultol moy kuka","[1,0]",1597168612,"true","2","tmk","ktvs"
"87","A11",1,"C","left","atop","kuka moy solsil","[0,3]",1597168620,"true","2","kms","ktvs"
"88","A11",1,"C","left","atop","solsil rae tultol","[3,[1]]",1597168630,"true","2","srt","ktvs"
"89","A11",1,"C","left","atop","vinkin moy solsil","[2,3]",1597168637,"true","2","vms","ktvs"
"90","A11",1,"C","left","atop","solsil moy vinkin","[3,2]",1597168644,"true","2","smv","ktvs"
"91","A11",1,"C","left","atop","vinkin rae kuka","[2,[0]]",1597168652,"true","2","vrk","ktvs"
"92","A11",1,"C","left","atop","tultol rae vinkin","[2,[1]]",1597168659,"true","2","trv","ktvs"
"93","A11",1,"C","left","atop","solsil moy kuka","[3,0]",1597168666,"false","2","smk","ktvs"
"94","A11",1,"C","left","atop","vinkin rae tultol","[1,[2]]",1597168680,"false","2","vrt","ktvs"
"95","A11",1,"C","left","atop","kuka moy tultol","[0,1]",1597168687,"false","2","kmt","ktvs"
