,Unnamed: 0,X,workerId,hitId,assignmentId,time,condition,chain,generation,level,trialType,nameTraining,arrayTraining,seenInTraining,inAmbig,choiceArray0,choiceArray1,choiceArray2,choiceArray3,correctChoiceNumber,participantChoiceNumber,participantText,compositionalAnswer,seenInTesting,conditionCE,conditionHeadN,correctLexicon,correctedAnswers,encodingCompositional,encodingCorrected,normedCorrectness,prepHorizGloss,prepVertGloss,consonants,Grammar_HInitial-noCE-Left-Atop,Grammar_HInitial-noCE-Left-Under,Grammar_HInitial-noCE-Right-Atop,Grammar_HInitial-noCE-Right-Under,Grammar_HFinal-noCE-Left-Atop,Grammar_HFinal-noCE-Left-Under,Grammar_HFinal-noCE-Right-Atop,Grammar_HFinal-noCE-Right-Under,Grammar_HInitial-CE-Left-Atop,Grammar_HInitial-CE-Left-Under,Grammar_HInitial-CE-Right-Atop,Grammar_HInitial-CE-Right-Under,Grammar_HFinal-CE-Left-Atop,Grammar_HFinal-CE-Left-Under,Grammar_HFinal-CE-Right-Atop,Grammar_HFinal-CE-Right-Under,Grammar_HInitial-Crossed-PreP-Left-Atop,Grammar_HInitial-Crossed-PreP-Left-Under,Grammar_HInitial-Crossed-PreP-Right-Atop,Grammar_HInitial-Crossed-PreP-Right-Under,Grammar_HInitial-Crossed-PostP-Left-Atop,Grammar_HInitial-Crossed-PostP-Left-Under,Grammar_HInitial-Crossed-PostP-Right-Atop,Grammar_HInitial-Crossed-PostP-Right-Under,Grammar_HFinal-Crossed-PreP-Left-Atop,Grammar_HFinal-Crossed-PreP-Left-Under,Grammar_HFinal-Crossed-PreP-Right-Atop,Grammar_HFinal-Crossed-PreP-Right-Under,Grammar_HFinal-Crossed-PostP-Left-Atop,Grammar_HFinal-Crossed-PostP-Left-Under,Grammar_HFinal-Crossed-PostP-Right-Atop,Grammar_HFinal-Crossed-PostP-Right-Under
1029,2070,2070,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581369973,CEPre,none,blah,3,write,,"[0,[[3,[1]],2]]",False,False,,,,,,,moy rae moy sosi kanka vincun tantul,moy rae moy sosi vinkin kanka tuntul,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,moy rae moy sosi kanka vinkin tuntul,mrmsvkt,mrmskvt,0.857142857142857,N,A,tvsk,tmkrvms,tmvrkms,smkrvmt,smvrkmt,smvrkmt,smkrvmt,tmvrkms,tmkrvms,tkvsmrm,tvksmrm,skvtmrm,svktmrm,mrmsvkt,mrmskvt,mrmtvks,mrmtkvs,mrmtkvs,mrmtvks,mrmskvt,mrmsvkt,tkvsmrm,tvksmrm,skvtmrm,svktmrm,mrmsvkt,mrmskvt,mrmtvks,mrmtkvs,svktmrm,skvtmrm,tvksmrm,tkvsmrm
1030,2071,2071,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581369998,CEPre,none,blah,3,write,,"[1,[[[0,1],[2]]]]",False,False,,,,,,,rae moy rae vincun tantul vincun sosi,rae moy rae sosi vinkin tuntul vinkin,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,rae moy rae vinkin tuntul vinkin sosi,rmrsvtv,rmrvtvs,0.7142857142857142,N,A,tvsk,vrtmvrs,srtmvrv,vrvmtrs,srvmtrv,srvmtrv,vrvmtrs,srtmvrv,vrtmvrs,vtvsrmr,stvvrmr,vvtsrmr,svtvrmr,rmrsvtv,rmrvvts,rmrstvv,rmrvtvs,rmrvtvs,rmrstvv,rmrvvts,rmrsvtv,vtvsrmr,stvvrmr,vvtsrmr,svtvrmr,rmrsvtv,rmrvvts,rmrstvv,rmrvtvs,svtvrmr,vvtsrmr,stvvrmr,vtvsrmr
1031,2072,2072,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581370035,CEPre,none,blah,3,write,,"[0,[1,[[2,3]]]]",False,False,,,,,,,moy rae moy kanka sosi vincun tantul,moy rae moy kanka sosi vinkin tuntul,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,moy rae moy kanka sosi vinkin tuntul,mrmksvt,mrmksvt,1.0,N,A,tvsk,tmvrsmk,tmsmkrv,vrkmsmt,kmsrvmt,kmsrvmt,vrkmsmt,tmsmkrv,tmvrsmk,tvskmrm,tskvrmm,vkstmmr,ksvtmrm,mrmksvt,mmrvkst,rmmtskv,mrmtvsk,mrmtvsk,mmrtskv,rmmvkst,mrmksvt,tvskmrm,tskvmmr,vkstrmm,ksvtmrm,mrmksvt,rmmvkst,mmrtskv,mrmtvsk,ksvtmrm,vkstrmm,tskvmmr,tvskmrm
1032,2073,2073,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581370074,CEPre,none,blah,3,write,,"[[0,[1,[2]]],3]",False,False,,,,,,,moy rae moy kanka vincun sosi tantul,moy rae moy kanka sosi vinkin tuntul,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,moy rae moy kanka vinkin sosi tuntul,mrmksvt,mrmkvst,0.857142857142857,N,A,tvsk,tmvrsmk,tmsrvmk,kmvrsmt,kmsrvmt,kmsrvmt,kmvrsmt,tmsrvmk,tmvrsmk,tvskmrm,tsvkmrm,kvstmrm,ksvtmrm,mrmksvt,mrmkvst,mrmtsvk,mrmtvsk,mrmtvsk,mrmtsvk,mrmkvst,mrmksvt,tvskmrm,tsvkmrm,kvstmrm,ksvtmrm,mrmksvt,mrmkvst,mrmtsvk,mrmtvsk,ksvtmrm,kvstmrm,tsvkmrm,tvskmrm
1033,2074,2074,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581370119,CEPre,none,blah,3,write,,"[[[0,1],[2]],3]",False,False,,,,,,,moy rae moy vincun sosi kanka,moy rae moy kanka sosi vinkin tuntul,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,moy rae moy vinkin sosi kanka,mrmksvt,mrmvsk,0.5714285714285711,N,A,tvsk,tmvrsmk,srtmvmk,kmvmtrs,kmsrvmt,kmsrvmt,kmvmtrs,srtmvmk,tmvrsmk,tvskmrm,stvkmmr,kvtsrmm,ksvtmrm,mrmksvt,rmmkvts,mmrstvk,mrmtvsk,mrmtvsk,rmmstvk,mmrkvts,mrmksvt,tvskmrm,stvkrmm,kvtsmmr,ksvtmrm,mrmksvt,mmrkvts,rmmstvk,mrmtvsk,ksvtmrm,kvtsmmr,stvkrmm,tvskmrm
1034,2075,2075,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581370149,CEPre,none,blah,3,write,,"[0,[[[1,3],[1]]]]",False,False,,,,,,,rae moy rae tantul kanka vincun vincun,rae moy rae vinkin kanka vinkin tuntul,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,rae moy rae tuntul kanka vinkin vinkin,rmrvkvt,rmrtkvv,0.7142857142857142,N,A,tvsk,trvmkrv,vrvmkrt,trkmvrv,vrkmvrt,vrkmvrt,trkmvrv,vrvmkrt,trvmkrv,tvkvrmr,vvktrmr,tkvvrmr,vkvtrmr,rmrvkvt,rmrtkvv,rmrvvkt,rmrtvkv,rmrtvkv,rmrvvkt,rmrtkvv,rmrvkvt,tvkvrmr,vvktrmr,tkvvrmr,vkvtrmr,rmrvkvt,rmrtkvv,rmrvvkt,rmrtvkv,vkvtrmr,tkvvrmr,vvktrmr,tvkvrmr
1035,2076,2076,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581370171,CEPre,none,blah,3,write,,"[[[1,[1]],0],1]",False,False,,,,,,,rae moy moy vincun vincun tantul vincun,rae moy moy vinkin tuntul vinkin vinkin,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,rae moy moy vinkin vinkin tuntul vinkin,rmmvtvv,rmmvvtv,0.857142857142857,N,A,tvsk,vrvmtmv,vrvmtmv,vmtmvrv,vmtmvrv,vmtmvrv,vmtmvrv,vrvmtmv,vrvmtmv,vvtvmmr,vvtvmmr,vtvvrmm,vtvvrmm,rmmvtvv,rmmvtvv,mmrvvtv,mmrvvtv,rmmvvtv,rmmvvtv,mmrvtvv,mmrvtvv,vvtvrmm,vvtvrmm,vtvvmmr,vtvvmmr,mmrvtvv,mmrvtvv,rmmvvtv,rmmvvtv,vtvvmmr,vtvvmmr,vvtvrmm,vvtvrmm
1036,2077,2077,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581370199,CEPre,none,blah,3,write,,"[[3,[[1,[0]]]],0]",False,False,,,,,,,rae rae moy kanka vincun tantul tantul,rae rae moy tuntul tuntul vinkin kanka,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,rae rae moy kanka vinkin tuntul tuntul,rrmttvk,rrmkvtt,0.5714285714285711,N,A,tvsk,krvrtmt,trvrkmt,tmkrvrt,tmtrvrk,tmtrvrk,tmkrvrt,trvrkmt,krvrtmt,kvttmrr,tvktmrr,tkvtrrm,ttvkrrm,rrmttvk,rrmtkvt,mrrtvkt,mrrkvtt,rrmkvtt,rrmtvkt,mrrtkvt,mrrttvk,kvttrrm,tvktrrm,tkvtmrr,ttvkmrr,mrrttvk,mrrtkvt,rrmtvkt,rrmkvtt,ttvkmrr,tkvtmrr,tvktrrm,kvttrrm
1037,2078,2078,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581370232,CEPre,none,blah,3,write,,"[[[3,[1]],[1]],[0]]",False,False,,,,,,,rae rae rae kanka vincun vincun tantul,rae rae rae tuntul vinkin vinkin kanka,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,rae rae rae kanka vinkin vinkin tuntul,rrrtvvk,rrrkvvt,0.7142857142857142,N,A,tvsk,krvrvrt,trvrvrk,krvrvrt,trvrvrk,trvrvrk,krvrvrt,trvrvrk,krvrvrt,kvvtrrr,tvvkrrr,kvvtrrr,tvvkrrr,rrrtvvk,rrrkvvt,rrrtvvk,rrrkvvt,rrrkvvt,rrrtvvk,rrrkvvt,rrrtvvk,kvvtrrr,tvvkrrr,kvvtrrr,tvvkrrr,rrrtvvk,rrrkvvt,rrrtvvk,rrrkvvt,tvvkrrr,kvvtrrr,tvvkrrr,kvvtrrr
1038,2079,2079,A26,3KWGG5KP6J9TT0HQWVHDBK71ANWCMK,3X08E93BHWP4B0LQPQ2VO8ES9VB664,1581370263,CEPre,none,blah,3,write,,"[0,[[2,[2,[2]]]]]",False,False,,,,,,,rae moy rae tantul sosi sosi sosi,rae moy rae sosi sosi sosi tuntul,False,center-embedding,head final,tuntul vinkin sosi kanka rae moy,rae moy rae tuntul sosi sosi sosi,rmrssst,rmrtsss,0.7142857142857142,N,A,tvsk,trsmsrs,smsrsrt,trsrsms,srsmsrt,srsmsrt,trsrsms,smsrsrt,trsmsrs,tsssrmr,ssstrrm,tsssmrr,ssstrmr,rmrssst,mrrtsss,rrmssst,rmrtsss,rmrtsss,mrrssst,rrmtsss,rmrssst,tsssrmr,ssstmrr,tsssrrm,ssstrmr,rmrssst,rrmtsss,mrrssst,rmrtsss,ssstrmr,tsssrrm,ssstmrr,tsssrmr
