,Unnamed: 0,X,workerId,hitId,assignmentId,time,condition,chain,generation,level,trialType,nameTraining,arrayTraining,seenInTraining,inAmbig,choiceArray0,choiceArray1,choiceArray2,choiceArray3,correctChoiceNumber,participantChoiceNumber,participantText,compositionalAnswer,seenInTesting,conditionCE,conditionHeadN,correctLexicon,correctedAnswers,encodingCompositional,encodingCorrected,normedCorrectness,prepHorizGloss,prepVertGloss,consonants,Grammar_HInitial-noCE-Left-Atop,Grammar_HInitial-noCE-Left-Under,Grammar_HInitial-noCE-Right-Atop,Grammar_HInitial-noCE-Right-Under,Grammar_HFinal-noCE-Left-Atop,Grammar_HFinal-noCE-Left-Under,Grammar_HFinal-noCE-Right-Atop,Grammar_HFinal-noCE-Right-Under,Grammar_HInitial-CE-Left-Atop,Grammar_HInitial-CE-Left-Under,Grammar_HInitial-CE-Right-Atop,Grammar_HInitial-CE-Right-Under,Grammar_HFinal-CE-Left-Atop,Grammar_HFinal-CE-Left-Under,Grammar_HFinal-CE-Right-Atop,Grammar_HFinal-CE-Right-Under,Grammar_HInitial-Crossed-PreP-Left-Atop,Grammar_HInitial-Crossed-PreP-Left-Under,Grammar_HInitial-Crossed-PreP-Right-Atop,Grammar_HInitial-Crossed-PreP-Right-Under,Grammar_HInitial-Crossed-PostP-Left-Atop,Grammar_HInitial-Crossed-PostP-Left-Under,Grammar_HInitial-Crossed-PostP-Right-Atop,Grammar_HInitial-Crossed-PostP-Right-Under,Grammar_HFinal-Crossed-PreP-Left-Atop,Grammar_HFinal-Crossed-PreP-Left-Under,Grammar_HFinal-Crossed-PreP-Right-Atop,Grammar_HFinal-Crossed-PreP-Right-Under,Grammar_HFinal-Crossed-PostP-Left-Atop,Grammar_HFinal-Crossed-PostP-Left-Under,Grammar_HFinal-Crossed-PostP-Right-Atop,Grammar_HFinal-Crossed-PostP-Right-Under
0,41,41,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505369,PostNomPrePos,none,blah,0,write,,0,True,False,,,,,,,sisu,sisu,True,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu,s,s,1.0,X,X,svkt,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
1,42,42,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505382,PostNomPrePos,none,blah,0,write,,1,True,False,,,,,,,vinvi,vinvi,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi,v,v,1.0,X,X,svkt,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v
2,43,43,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505397,PostNomPrePos,none,blah,0,write,,2,True,False,,,,,,,konka,konkan,True,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan,k,k,1.0,X,X,svkt,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k
3,44,44,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505421,PostNomPrePos,none,blah,0,write,,3,True,False,,,,,,,tulsul,tulsul,True,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul,t,t,1.0,X,X,svkt,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
4,45,45,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505446,PostNomPrePos,none,blah,1,write,,"[1,[0]]",True,False,,,,,,,vinvi rae sisu,vinvi rae sisu,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi rae sisu,vrs,vrs,1.0,X,X,svkt,vrs,srv,vrs,srv,srv,vrs,srv,vrs,vsr,svr,vsr,svr,rsv,rvs,rsv,rvs,rvs,rsv,rvs,rsv,vsr,svr,vsr,svr,rsv,rvs,rsv,rvs,svr,vsr,svr,vsr
5,46,46,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505471,PostNomPrePos,none,blah,1,write,,"[1,[3]]",True,False,,,,,,,vinvi rae tulsul,vinvi rae tulsul,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi rae tulsul,vrt,vrt,1.0,X,X,svkt,vrt,trv,vrt,trv,trv,vrt,trv,vrt,vtr,tvr,vtr,tvr,rtv,rvt,rtv,rvt,rvt,rtv,rvt,rtv,vtr,tvr,vtr,tvr,rtv,rvt,rtv,rvt,tvr,vtr,tvr,vtr
6,47,47,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505569,PostNomPrePos,none,blah,1,write,,"[2,[2]]",False,False,,,,,,,konkan rae konkan,konkan rae konkan,False,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan rae konkan,krk,krk,1.0,X,X,svkt,krk,krk,krk,krk,krk,krk,krk,krk,kkr,kkr,kkr,kkr,rkk,rkk,rkk,rkk,rkk,rkk,rkk,rkk,kkr,kkr,kkr,kkr,rkk,rkk,rkk,rkk,kkr,kkr,kkr,kkr
7,48,48,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505619,PostNomPrePos,none,blah,1,write,,"[2,[3]]",False,False,,,,,,,konkan rae tulsul,konkan rae tulsul,False,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan rae tulsul,krt,krt,1.0,X,X,svkt,krt,trk,krt,trk,trk,krt,trk,krt,ktr,tkr,ktr,tkr,rtk,rkt,rtk,rkt,rkt,rtk,rkt,rtk,ktr,tkr,ktr,tkr,rtk,rkt,rtk,rkt,tkr,ktr,tkr,ktr
8,49,49,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505638,PostNomPrePos,none,blah,1,write,,"[3,0]",True,False,,,,,,,tulsul moy sisu,tulsul moy sisu,True,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul moy sisu,tms,tms,1.0,X,X,svkt,tms,tms,smt,smt,smt,smt,tms,tms,tsm,tsm,stm,stm,mst,mst,mts,mts,mts,mts,mst,mst,tsm,tsm,stm,stm,mst,mst,mts,mts,stm,stm,tsm,tsm
9,50,50,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505662,PostNomPrePos,none,blah,1,write,,"[0,1]",True,False,,,,,,,sisu moy vinvi,sisu moy vinvi,True,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu moy vinvi,smv,smv,1.0,X,X,svkt,smv,smv,vms,vms,vms,vms,smv,smv,svm,svm,vsm,vsm,mvs,mvs,msv,msv,msv,msv,mvs,mvs,svm,svm,vsm,vsm,mvs,mvs,msv,msv,vsm,vsm,svm,svm
10,51,51,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505682,PostNomPrePos,none,blah,1,write,,"[2,0]",True,False,,,,,,,konkan moy sisu,konkan moy sisu,True,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan moy sisu,kms,kms,1.0,X,X,svkt,kms,kms,smk,smk,smk,smk,kms,kms,ksm,ksm,skm,skm,msk,msk,mks,mks,mks,mks,msk,msk,ksm,ksm,skm,skm,msk,msk,mks,mks,skm,skm,ksm,ksm
11,52,52,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505705,PostNomPrePos,none,blah,1,write,,"[2,1]",False,False,,,,,,,konkan moy vinvi,konkan moy vinvi,False,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan moy vinvi,kmv,kmv,1.0,X,X,svkt,kmv,kmv,vmk,vmk,vmk,vmk,kmv,kmv,kvm,kvm,vkm,vkm,mvk,mvk,mkv,mkv,mkv,mkv,mvk,mvk,kvm,kvm,vkm,vkm,mvk,mvk,mkv,mkv,vkm,vkm,kvm,kvm
12,53,53,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505724,PostNomPrePos,none,blah,1,write,,"[0,[3]]",True,False,,,,,,,sisu rae tulsul,sisu rae tulsul,True,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu rae tulsul,srt,srt,1.0,X,X,svkt,srt,trs,srt,trs,trs,srt,trs,srt,str,tsr,str,tsr,rts,rst,rts,rst,rst,rts,rst,rts,str,tsr,str,tsr,rts,rst,rts,rst,tsr,str,tsr,str
13,54,54,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505739,PostNomPrePos,none,blah,1,write,,"[1,3]",True,False,,,,,,,vinvi moy tulsul,vinvi moy tulsul,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi moy tulsul,vmt,vmt,1.0,X,X,svkt,vmt,vmt,tmv,tmv,tmv,tmv,vmt,vmt,vtm,vtm,tvm,tvm,mtv,mtv,mvt,mvt,mvt,mvt,mtv,mtv,vtm,vtm,tvm,tvm,mtv,mtv,mvt,mvt,tvm,tvm,vtm,vtm
14,55,55,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505765,PostNomPrePos,none,blah,1,write,,"[3,[2]]",True,False,,,,,,,tulsul rae konkan,tulsul rae konkan,True,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul rae konkan,trk,trk,1.0,X,X,svkt,trk,krt,trk,krt,krt,trk,krt,trk,tkr,ktr,tkr,ktr,rkt,rtk,rkt,rtk,rtk,rkt,rtk,rkt,tkr,ktr,tkr,ktr,rkt,rtk,rkt,rtk,ktr,tkr,ktr,tkr
15,56,56,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505791,PostNomPrePos,none,blah,1,write,,"[3,2]",False,False,,,,,,,tulsul moy konkan,tulsul moy konkan,False,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul moy konkan,tmk,tmk,1.0,X,X,svkt,tmk,tmk,kmt,kmt,kmt,kmt,tmk,tmk,tkm,tkm,ktm,ktm,mkt,mkt,mtk,mtk,mtk,mtk,mkt,mkt,tkm,tkm,ktm,ktm,mkt,mkt,mtk,mtk,ktm,ktm,tkm,tkm
16,57,57,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505829,PostNomPrePos,none,blah,2,write,,"[[3,[1]],1]",True,False,,,,,,,tulsul rae vinvi moy vinvi,tulsul rae vinvi moy vinvi,True,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul rae vinvi moy vinvi,trvmv,trvmv,1.0,X,X,svkt,trvmv,vrtmv,vmtrv,vmvrt,vmvrt,vmtrv,vrtmv,trvmv,tvvmr,vtvmr,vtvrm,vvtrm,rmvvt,rmvtv,mrvtv,mrtvv,rmtvv,rmvtv,mrvtv,mrvvt,tvvrm,vtvrm,vtvmr,vvtmr,mrvvt,mrvtv,rmvtv,rmtvv,vvtmr,vtvmr,vtvrm,tvvrm
17,58,58,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505860,PostNomPrePos,none,blah,2,write,,"[[0,[2]],3]",False,True,,,,,,,sisu rae konkan moy tulsul,sisu rae konkan moy tulsul,False,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu rae konkan moy tulsul,srkmt,srkmt,1.0,X,X,svkt,srkmt,krsmt,tmsrk,tmkrs,tmkrs,tmsrk,krsmt,srkmt,sktmr,kstmr,tskrm,tksrm,rmtks,rmtsk,mrkst,mrskt,rmskt,rmkst,mrtsk,mrtks,sktrm,kstrm,tskmr,tksmr,mrtks,mrtsk,rmkst,rmskt,tksmr,tskmr,kstrm,sktrm
18,59,59,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505887,PostNomPrePos,none,blah,2,write,,"[[1,2],3]",True,False,,,,,,,vinvi moy konkan moy tulsul,vinvi moy konkan moy tulsul,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi moy konkan moy tulsul,vmkmt,vmkmt,1.0,X,X,svkt,vmkmt,vmkmt,tmkmv,tmkmv,tmkmv,tmkmv,vmkmt,vmkmt,vktmm,vktmm,tkvmm,tkvmm,mmtkv,mmtkv,mmvkt,mmvkt,mmvkt,mmvkt,mmtkv,mmtkv,vktmm,vktmm,tkvmm,tkvmm,mmtkv,mmtkv,mmvkt,mmvkt,tkvmm,tkvmm,vktmm,vktmm
19,60,60,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505910,PostNomPrePos,none,blah,2,write,,"[3,[1,3]]",False,False,,,,,,,tulsul moy vinvi moy tulsul,tulsul moy vinvi moy tulsul,False,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul moy vinvi moy tulsul,tmvmt,tmvmt,1.0,X,X,svkt,tmvmt,tmvmt,tmvmt,tmvmt,tmvmt,tmvmt,tmvmt,tmvmt,tvtmm,tvtmm,tvtmm,tvtmm,mmtvt,mmtvt,mmtvt,mmtvt,mmtvt,mmtvt,mmtvt,mmtvt,tvtmm,tvtmm,tvtmm,tvtmm,mmtvt,mmtvt,mmtvt,mmtvt,tvtmm,tvtmm,tvtmm,tvtmm
20,61,61,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505955,PostNomPrePos,none,blah,2,write,,"[[2,1],2]",False,False,,,,,,,konkan moy vinvi moy konka,konkan moy vinvi moy konkan,False,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan moy vinvi moy konkan,kmvmk,kmvmk,1.0,X,X,svkt,kmvmk,kmvmk,kmvmk,kmvmk,kmvmk,kmvmk,kmvmk,kmvmk,kvkmm,kvkmm,kvkmm,kvkmm,mmkvk,mmkvk,mmkvk,mmkvk,mmkvk,mmkvk,mmkvk,mmkvk,kvkmm,kvkmm,kvkmm,kvkmm,mmkvk,mmkvk,mmkvk,mmkvk,kvkmm,kvkmm,kvkmm,kvkmm
21,62,62,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581505972,PostNomPrePos,none,blah,2,write,,"[0,[3,3]]",True,False,,,,,,,sisu moy tulsul moy tulsul,sisu moy tulsul moy tulsul,True,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu moy tulsul moy tulsul,smtmt,smtmt,1.0,X,X,svkt,smtmt,smtmt,tmtms,tmtms,tmtms,tmtms,smtmt,smtmt,sttmm,sttmm,ttsmm,ttsmm,mmtts,mmtts,mmstt,mmstt,mmstt,mmstt,mmtts,mmtts,sttmm,sttmm,ttsmm,ttsmm,mmtts,mmtts,mmstt,mmstt,ttsmm,ttsmm,sttmm,sttmm
22,63,63,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506007,PostNomPrePos,none,blah,2,write,,"[1,[3,[1]]]",True,False,,,,,,,vinvi moy tulsul rae vinvi,vinvi moy tulsul rae vinvi,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi moy tulsul rae vinvi,vmtrv,vmtrv,1.0,X,X,svkt,vmtrv,vmvrt,trvmv,vrtmv,vrtmv,trvmv,vmvrt,vmtrv,vtvrm,vvtrm,tvvmr,vtvmr,mrvtv,mrtvv,rmvvt,rmvtv,mrvtv,mrvvt,rmtvv,rmvtv,vtvmr,vvtmr,tvvrm,vtvrm,rmvtv,rmtvv,mrvvt,mrvtv,vtvrm,tvvrm,vvtmr,vtvmr
23,64,64,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506036,PostNomPrePos,none,blah,2,write,,"[[3,3],[1]]",True,False,,,,,,,tulsul moy tulsul rae vinvi,tulsul moy tulsul rae vinvi,True,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul moy tulsul rae vinvi,tmtrv,tmtrv,1.0,X,X,svkt,tmtrv,vrtmt,tmtrv,vrtmt,vrtmt,tmtrv,vrtmt,tmtrv,ttvrm,vttmr,ttvrm,vttmr,mrvtt,rmttv,mrvtt,rmttv,mrttv,rmvtt,mrttv,rmvtt,ttvmr,vttrm,ttvmr,vttrm,rmvtt,mrttv,rmvtt,mrttv,vttrm,ttvmr,vttrm,ttvmr
24,65,65,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506059,PostNomPrePos,none,blah,2,write,,"[0,[[0,0]]]",True,False,,,,,,,sisu rae sisu moy sisu,sisu rae sisu moy sisu,True,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu rae sisu moy sisu,srsms,srsms,1.0,X,X,svkt,srsms,smsrs,srsms,smsrs,smsrs,srsms,smsrs,srsms,sssmr,sssrm,sssmr,sssrm,rmsss,mrsss,rmsss,mrsss,rmsss,mrsss,rmsss,mrsss,sssrm,sssmr,sssrm,sssmr,mrsss,rmsss,mrsss,rmsss,sssmr,sssrm,sssmr,sssrm
25,66,66,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506079,PostNomPrePos,none,blah,2,write,,"[3,[[2,[2]]]]",True,False,,,,,,,tulsul rae konkan rae konkan,tulsul rae konkan rae konkan,True,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul rae konkan rae konkan,trkrk,trkrk,1.0,X,X,svkt,trkrk,krkrt,trkrk,krkrt,krkrt,trkrk,krkrt,trkrk,tkkrr,kktrr,tkkrr,kktrr,rrkkt,rrtkk,rrkkt,rrtkk,rrtkk,rrkkt,rrtkk,rrkkt,tkkrr,kktrr,tkkrr,kktrr,rrkkt,rrtkk,rrkkt,rrtkk,kktrr,tkkrr,kktrr,tkkrr
26,67,67,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506099,PostNomPrePos,none,blah,2,write,,"[1,[[1,1]]]",True,False,,,,,,,vinvi rae vinvi moy vinvi,vinvi rae vinvi moy vinvi,True,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi rae vinvi moy vinvi,vrvmv,vrvmv,1.0,X,X,svkt,vrvmv,vmvrv,vrvmv,vmvrv,vmvrv,vrvmv,vmvrv,vrvmv,vvvmr,vvvrm,vvvmr,vvvrm,rmvvv,mrvvv,rmvvv,mrvvv,rmvvv,mrvvv,rmvvv,mrvvv,vvvrm,vvvmr,vvvrm,vvvmr,mrvvv,rmvvv,mrvvv,rmvvv,vvvmr,vvvrm,vvvmr,vvvrm
27,68,68,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506126,PostNomPrePos,none,blah,2,write,,"[0,[[2,3]]]",False,True,,,,,,,sisu rae konkan moy tulsul,sisu rae konkan moy tulsul,False,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu rae konkan moy tulsul,srkmt,srkmt,1.0,X,X,svkt,srkmt,kmtrs,srtmk,tmkrs,tmkrs,srtmk,kmtrs,srkmt,sktmr,ktsrm,stkmr,tksrm,rmtks,mrstk,rmkts,mrskt,rmskt,mrkts,rmstk,mrtks,sktrm,ktsmr,stkrm,tksmr,mrtks,rmstk,mrkts,rmskt,tksmr,stkrm,ktsmr,sktrm
28,69,69,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506157,PostNomPrePos,none,blah,3,write,,"[2,[[0,2],3]]",False,False,,,,,,,konkan moy sisu moy konkan moy tulsul,konkan moy sisu moy konkan moy tulsul,False,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan moy sisu moy konkan moy tulsul,kmsmkmt,kmsmkmt,1.0,X,X,svkt,kmsmkmt,kmsmkmt,tmkmsmk,tmkmsmk,tmkmsmk,tmkmsmk,kmsmkmt,kmsmkmt,ksktmmm,ksktmmm,tkskmmm,tkskmmm,mmmtksk,mmmtksk,mmmkskt,mmmkskt,mmmkskt,mmmkskt,mmmtksk,mmmtksk,ksktmmm,ksktmmm,tkskmmm,tkskmmm,mmmtksk,mmmtksk,mmmkskt,mmmkskt,tkskmmm,tkskmmm,ksktmmm,ksktmmm
29,70,70,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506226,PostNomPrePos,none,blah,3,write,,"[2,[[[2,[2]],0]]]",False,False,,,,,,,konkan moy konkan rae konkan rae sisu,konkan rae konkan rae konkan moy sisu,False,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan moy konkan rae konkan rae sisu,krkrkms,kmkrkrs,0.7142857142857142,X,X,svkt,krkrkms,krkmsrk,krsmkrk,smkrkrk,smkrkrk,krsmkrk,krkmsrk,krkrkms,kkksmrr,kkskrmr,kskkrmr,skkkrrm,rrmskkk,rmrkskk,rmrkksk,mrrkkks,rrmkkks,rmrkksk,rmrkskk,mrrskkk,kkksrrm,kkskrmr,kskkrmr,skkkmrr,mrrskkk,rmrkskk,rmrkksk,rrmkkks,skkkmrr,kskkrmr,kkskrmr,kkksrrm
30,71,71,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506260,PostNomPrePos,none,blah,3,write,,"[[[3,0],0],1]",False,False,,,,,,,tulsul moy sisu moy sisu moy vinvi,tulsul moy sisu moy sisu moy vinvi,False,branching,head initial,sisu vinvi konkan tulsul rae moy,tulsul moy sisu moy sisu moy vinvi,tmsmsmv,tmsmsmv,1.0,X,X,svkt,tmsmsmv,tmsmsmv,vmsmsmt,vmsmsmt,vmsmsmt,vmsmsmt,tmsmsmv,tmsmsmv,tssvmmm,tssvmmm,vsstmmm,vsstmmm,mmmvsst,mmmvsst,mmmtssv,mmmtssv,mmmtssv,mmmtssv,mmmvsst,mmmvsst,tssvmmm,tssvmmm,vsstmmm,vsstmmm,mmmvsst,mmmvsst,mmmtssv,mmmtssv,vsstmmm,vsstmmm,tssvmmm,tssvmmm
31,72,72,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506290,PostNomPrePos,none,blah,3,write,,"[[0,[1,[2]]],3]",False,False,,,,,,,sisu moy vinvi rae konkan moy tulsul,sisu moy vinvi rae konkan moy tulsul,False,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu moy vinvi rae konkan moy tulsul,smvrkmt,smvrkmt,1.0,X,X,svkt,smvrkmt,smkrvmt,tmvrkms,tmkrvms,tmkrvms,tmvrkms,smkrvmt,smvrkmt,svktmrm,skvtmrm,tvksmrm,tkvsmrm,mrmtkvs,mrmtvks,mrmskvt,mrmsvkt,mrmsvkt,mrmskvt,mrmtvks,mrmtkvs,svktmrm,skvtmrm,tvksmrm,tkvsmrm,mrmtkvs,mrmtvks,mrmskvt,mrmsvkt,tkvsmrm,tvksmrm,skvtmrm,svktmrm
32,73,73,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506330,PostNomPrePos,none,blah,3,write,,"[0,[1,[[2,3]]]]",False,False,,,,,,,sisu moy vinvi rae konkan rae tulsu;,sisu moy vinvi rae konkan moy tulsul,False,branching,head initial,sisu vinvi konkan tulsul rae moy,sisu moy vinvi rae konkan rae tulsul,smvrkmt,smvrkrt,0.857142857142857,X,X,svkt,smvrkmt,smkmtrv,vrtmkms,tmkrvms,tmkrvms,vrtmkms,smkmtrv,smvrkmt,svktmrm,sktvrmm,vtksmmr,tkvsmrm,mrmtkvs,mmrvtks,rmmsktv,mrmsvkt,mrmsvkt,mmrsktv,rmmvtks,mrmtkvs,svktmrm,sktvmmr,vtksrmm,tkvsmrm,mrmtkvs,rmmvtks,mmrsktv,mrmsvkt,tkvsmrm,vtksrmm,sktvmmr,svktmrm
33,74,74,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506356,PostNomPrePos,none,blah,3,write,,"[1,[0,[[1,[0]]]]]",False,False,,,,,,,vinvi moy sisu rae vinvi rae sisy,vinvi moy sisu rae vinvi rae sisu,False,branching,head initial,sisu vinvi konkan tulsul rae moy,vinvi moy sisu rae vinvi rae sisu,vmsrvrs,vmsrvrs,1.0,X,X,svkt,vmsrvrs,vmsrvrs,srvrsmv,srvrsmv,srvrsmv,srvrsmv,vmsrvrs,vmsrvrs,vsvsrrm,vsvsrrm,svsvmrr,svsvmrr,mrrsvsv,mrrsvsv,rrmvsvs,rrmvsvs,mrrvsvs,mrrvsvs,rrmsvsv,rrmsvsv,vsvsmrr,vsvsmrr,svsvrrm,svsvrrm,rrmsvsv,rrmsvsv,mrrvsvs,mrrvsvs,svsvrrm,svsvrrm,vsvsmrr,vsvsmrr
34,75,75,A1,3HEA4ZVWVDTAM8N5PMDJGCQ5WEM55N,3U0SRXB7CEC544P2GVRA1ERA0H6NR3,1581506393,PostNomPrePos,none,blah,3,write,,"[2,[[1,[[1,[3]]]]]]",False,False,,,,,,,konkan rae vinvi rae vinvi rae tulsul,konkan rae vinvi rae vinvi rae tulsul,False,branching,head initial,sisu vinvi konkan tulsul rae moy,konkan rae vinvi rae vinvi rae tulsul,krvrvrt,krvrvrt,1.0,X,X,svkt,krvrvrt,trvrvrk,krvrvrt,trvrvrk,trvrvrk,krvrvrt,trvrvrk,krvrvrt,kvvtrrr,tvvkrrr,kvvtrrr,tvvkrrr,rrrtvvk,rrrkvvt,rrrtvvk,rrrkvvt,rrrkvvt,rrrtvvk,rrrkvvt,rrrtvvk,kvvtrrr,tvvkrrr,kvvtrrr,tvvkrrr,rrrtvvk,rrrkvvt,rrrtvvk,rrrkvvt,tvvkrrr,kvvtrrr,tvvkrrr,kvvtrrr
